District,Bank Name,Agriculture No.,Amt,Msme (NPS) No.,Exp Credit No.,Education (NPS) No.,Housing (NPS) No.,Personal Loans No.,Others NPS No.,Total Acp (NPS) No.
Bishnupur,,0,5290.13,2,0,0,32,324,1548,1906
Chandel,,0,1574.82,0,0,0,9,7,241,257
Churachandpur,,0,9630.37,2,0,0,63,142,1238,1445
Imphal East,,0,13982.42,6,0,3,74,561,3741,4385
Imphal West,,0,57264.34,23,1,6,267,2218,9307,11822
Jiribam,,0,373.95,0,0,0,2,14,25,41
Kakching,,0,4036.88,0,0,0,43,359,354,756
Kamjong,,0,138.66,0,0,0,0,0,14,14
Kangpokpi,,0,2861.08,1,0,0,9,27,365,402
Noney,,0,428.99,0,0,0,0,11,32,43
Pherzawl,,0,0,0,0,0,0,0,0,0
Senapati,,0,3129.09,0,0,0,20,34,373,427
Tamenglong,,0,733.61,0,0,0,0,37,27,64
Tengnoupal,,0,1255.91,0,0,0,5,14,158,177
Thoubal,,0,7957.54,0,0,2,55,430,2497,2984
Ukhrul,,0,2206.01,0,0,0,0,70,199,269
