District,Bank Name,Crop Loan No.,Amt,Forestry And Wasteland Dev. No.,Water Resource No.,Farm Mechanization No.,Plantation & horticulture No.,Animal Husbandry No.,Fishery No.,Farm Credit Others No.,Agri. Infrastructure No.,Ancillaryy Activities No.,Tot Agri (PS) Disb No.
Bishnupur,,384,1717.7,10,0,92,0,8,4,448,0,20,966
Chandel,,17,17.56,0,0,1,0,0,0,0,0,0,18
Churachandpur,,436,687.48,0,0,0,0,1,0,136,0,14,587
Imphal East,,287,3706.94,40,0,250,0,45,1,486,0,66,1175
Imphal West,,531,5761.09,44,0,375,5,35,5,463,1,249,1708
Jiribam,,0,0,0,0,0,0,1,1,0,0,0,2
Kakching,,145,610.37,2,0,0,0,4,22,88,0,32,293
Kamjong,,1,1.05,0,0,0,0,0,0,0,0,0,1
Kangpokpi,,43,91.42,0,0,0,0,4,0,14,0,8,69
Noney,,3,101,0,0,0,0,0,0,3,0,3,9
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,276,185.18,0,0,0,0,0,0,52,0,4,332
Tamenglong,,18,86.93,0,0,0,0,4,1,1,0,2,26
Tengnoupal,,56,96.02,0,0,0,0,0,0,15,0,10,81
Thoubal,,379,3286.47,28,0,209,0,18,4,623,0,44,1305
Ukhrul,,35,96.5,0,0,0,0,4,1,7,0,2,49
