district,No. of KCC issuedduringquarter (Including renewal),KCC Disbursed Amountduringquarter,Total O/S KCC No.,Total O/S KCC Amount.,Numberofrupaycard Issued,KCC Cardactivated,No. of KCC foranimalhusbandaryissuedduringquarter (Including renewal),KCC foranimalhusbandary Amountdisbursed duringquarter,AH Totalno. of KCC,AH Outstandingamount.,AH Numberofrupaycard Issued,AH Cardactivated,No. of KCC for Fishriesissuedduringquarter (including renewal),KCC for Fishery Amountdisbursed duringquarter,Fishery Totalno. of KCC,Fishery Outstandingamount.,Fishery Numberofrupaycard Issued,Fishery Cardactivated
Bishnupur,378,251.9,4917,3039.53,4132,4094,3,2.8,297,243.58,253,248,28,13.61,163,137.2,154,143
Chandel,14,16.89,92,55.82,2,2,0,0,25,28.59,6,6,0,0,1,1.02,0,0
Churachandpur,145,170.89,1293,840.11,1382,996,1,0.42,219,279.53,104,102,0,0,34,75.37,17,4
Imphal East,265,437.91,3102,3094.49,2106,1833,32,54.99,762,807.81,567,559,1,1.99,11,18.3,8,8
Imphal West,261,489.28,12635,10863.96,3446,3003,35,28.6,604,569.5,550,549,7,17.25,55,65.27,41,40
Jiribam,2,0,67,31.67,21,21,1,0,10,9.31,8,8,1,0,4,4.56,0,0
Kakching,78,119.12,1023,1061.16,845,825,1,1.5,309,244.61,234,234,2,2.7,181,272.96,130,130
Kamjong,1,1.05,1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,38,48.04,663,416.98,647,572,2,1.47,24,19.19,28,28,0,0,0,0,0,0
Noney,8,10.5,272,223.2,78,78,1,0,4,1.88,3,3,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,115,112.03,782,640.09,692,521,0,0,6,6.94,1,1,0,0,0,0,0,0
Tamenglong,12,9.12,144,112.1,15,15,4,0.01,38,33.42,0,0,1,0,10,6.66,2,2
Tengnoupal,53,30.07,145,74.63,21,22,10,4.72,53,34.7,29,32,0,0,2,1.83,2,2
Thoubal,259,305.01,2784,1905.37,2262,2209,74,73.99,382,279.52,343,371,2,5,48,42.52,44,44
Ukhrul,37,74.67,598,541.02,123,127,1,1.5,57,46.21,43,43,2,3.3,4,4.43,1,1
