District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,115232,41698,61727,94973,156700,21325,155320085,108564,45278,120525
Chandel,8929,3658,5507,7079,12586,718,412.11,6588,4711,10078
Churachandpur,77390,27381,47086,57657,104743,12583,12971700.2,54198,34706,80922
Imphal East,80571,64922,58160,87215,145375,16963,143177468,94253,48805,113763
Imphal West,67106,190808,106028,151574,257602,30000,147151745,161213,97619,206551
Jiribam,16804,24,6428,10340,16768,2056,518.76,15500,7673,15122
Kakching,40198,40711,33030,47808,80838,9488,38029462.7,54660,25567,63776
Kamjong,1193,1160,1010,1343,2353,51,108.37,1200,1041,1856
Kangpokpi,20248,9798,14073,15970,30043,4706,1145409.24,12844,11042,19354
Noney,10016,1952,5948,5988,11936,1906,96534397.3,8623,3588,8876
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,25768,11470,16368,20839,37207,1910,1672.01,22976,15998,29578
Tamenglong,4890,16442,9416,11916,21332,3202,512.32,24433,11265,14079
Tengnoupal,9440,6875,6857,9444,16301,2129,12480105.1,12602,7066,12857
Thoubal,109841,49320,65939,93160,159099,20785,115068883,99447,44868,122127
Ukhrul,15941,45046,24686,36286,60972,11387,10838282.3,46144,20807,38701
