district,Bank Name,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Bishnupur,BOB,10,4,95,74.28
Chandel,BOI,0,0,1,0.85
Churachandpur,BOM,0,0,27,89.57
Imphal East,CAN,0,0,910,607.42
Imphal West,CBI,51,50.03,627,355.01
Jiribam,IND,0,0,0,0
Kakching,IOB,0,0,14,22.1
Kamjong,PNB,0,0,0,0
Kangpokpi,PSB,0,0,9,8.56
Noney,SBI,0,0,0,0
Pherzawl,UCO,0,0,0,0
Senapati,UNI,0,0,39,84.92
Tamenglong,Total,0,0,0,0
Tengnoupal,AXIS,1,0.45,1,0.44
Thoubal,BAND,0,0,505,369.49
Ukhrul,HDFC,2,0.63,12,21.55
