district,Sishu No,Sishuamt,Kishoreno,Kishore Amt,Tarun No,Tarun Amt,Tarun Plus No.,Tarun Plus Amt.,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,42,19.2,190,272.49,13,79.46,0,0,245,371.15
Chandel,1,0.39,34,58.41,0,0,0,0,35,58.8
Churachandpur,19,2.47,106,256.48,92,775.69,0,0,217,1034.64
Imphal East,49,17.98,370,612.02,68,320.27,0,0,487,950.27
Imphal West,106,147.81,544,1070.25,144,728.37,1,4.97,795,1951.4
Jiribam,0,0,1,1.76,0,0,0,0,1,1.76
Kakching,13,4.36,108,169.53,4,23.1,0,0,125,196.99
Kamjong,6,3,0,0,0,0,0,0,6,3
Kangpokpi,7,1.43,80,310.76,12,85.75,0,0,99,397.94
Noney,5,1.5,15,30.39,1,6.5,0,0,21,38.39
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,2,40.03,52,129.38,51,385.99,0,0,105,555.4
Tamenglong,2,0.01,17,40.8,5,45,0,0,24,85.81
Tengnoupal,1,0.45,12,20.8,1,10,0,0,14,31.25
Thoubal,31,13.05,316,567.53,35,207.87,0,0,382,788.45
Ukhrul,66,32.99,97,155.62,11,83.55,0,0,174,272.16
