district,Bank Name,NRLM O/S No,Amt,NRLM Irregular No,Amt,NRLM NPA No,Amt,NULM O/S No,Amt,NULM NPA No,Amt,PMEGP O/S No,Amt,PMEGP NPA No,Amt,SHG O/S No,Amt,SHG NPA No,Amt,SUI O/S No,Amt,SUI NPA No,Amt
Bishnupur,,246,6.79,1,6.79,11,6.79,19,6.79,0,6.79,603,6.79,343,6.79,571,6.79,199,6.79,6,6.79,1,6.79
Chandel,,2,0,0,0,2,0,0,0,0,0,304,0,122,0,2,0,2,0,1,0,0,0
Churachandpur,,304,132.14,20,132.14,7,132.14,16,132.14,4,132.14,319,132.14,194,132.14,291,132.14,115,132.14,48,132.14,5,132.14
Imphal East,,910,158.41,7,158.41,37,158.41,11,158.41,3,158.41,846,158.41,364,158.41,921,158.41,65,158.41,44,158.41,17,158.41
Imphal West,,765,585.83,8,585.83,15,585.83,48,585.83,17,585.83,1466,585.83,721,585.83,936,585.83,110,585.83,98,585.83,36,585.83
Jiribam,,70,0,1,0,0,0,3,0,2,0,11,0,7,0,16,0,1,0,0,0,0,0
Kakching,,274,14.09,24,14.09,2,14.09,12,14.09,7,14.09,238,14.09,123,14.09,304,14.09,104,14.09,14,14.09,1,14.09
Kamjong,,0,0,0,0,0,0,0,0,0,0,36,0,29,0,0,0,0,0,0,0,0,0
Kangpokpi,,32,0,3,0,0,0,0,0,0,0,227,0,113,0,45,0,5,0,9,0,0,0
Noney,,70,0,0,0,7,0,0,0,0,0,32,0,13,0,97,0,14,0,0,0,0,0
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,69,91.52,14,91.52,0,91.52,4,91.52,1,91.52,530,91.52,262,91.52,95,91.52,1,91.52,41,91.52,8,91.52
Tamenglong,,14,0,0,0,0,0,3,0,2,0,178,0,105,0,32,0,6,0,0,0,0,0
Tengnoupal,,158,0,13,0,18,0,0,0,0,0,84,0,53,0,120,0,18,0,0,0,0,0
Thoubal,,784,18.76,55,18.76,106,18.76,80,18.76,8,18.76,525,18.76,243,18.76,806,18.76,194,18.76,16,18.76,3,18.76
Ukhrul,,27,0,0,0,0,0,21,0,12,0,321,0,172,0,73,0,17,0,2,0,0,0
