District,Sanctioned No.,Of Which Girl Student Sanctioned No.,Sanctioned Amt,Of Which Girl Student Sanctioned Amt,Disb. Number,Of Which Girl Student Disb No.,Disb. Amt,Of Which Girl Student Disb Amt,O/S No.,Of Which Girl Student O/S No.,O/S amt,Of Which Girl Student O/S Amt
Bishnupur,9,7,19.65,17.76,9,8,12.21,11,37,18,134.54,73.36
Chandel,2,2,4.55,4.55,4,4,7.76,7.76,13,9,38.98,21.82
Churachandpur,10,6,18.07,8.38,13,10,14.83,11.08,96,86,225.63,169.76
Imphal East,26,12,101.04,18.47,26,20,74.86,15.98,185,186,800.53,499.16
Imphal West,54,39,304.63,164.48,139,145,245.63,129.46,800,1067,4890.93,3112.15
Jiribam,0,0,0,0,0,0,0,0,1,1,0.44,0.44
Kakching,3,2,4.6,2.29,4,1,4.64,0.07,29,13,70.63,33.78
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,4,3,6.55,4.53,19,13,142.03,108.03
Noney,0,0,0,0,0,0,0,0,4,4,6.94,6.84
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2,2,16.21,19.15,4,3,16.79,14.87,55,31,242.47,117.13
Tamenglong,0,0,0,0,0,0,0,0,9,20,7,16
Tengnoupal,1,0,2.8,0,0,0,0,0,4,1,24.9,15.05
Thoubal,19,11,61.54,19.33,14,14,34.7,15.46,80,104,209.7,119.57
Ukhrul,1,1,0.5,0.5,2,2,2.49,2.49,12,9,27.68,23.26
