District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,176,2541670,1058,2550.79,24,107.95,383,1938.62
Chandel,4,42.86,23,129.54,18,64.89,453,1124.9
Churachandpur,14,260.48,135,768.21,347,2411.4,6135,27521.75
Imphal East,30,144.14,445,1391.93,59,476.31,1206,6939.94
Imphal West,176,5380759,1684,6304.27,240,2099.8,11162,30145.38
Jiribam,10,3500022,53,256.18,0,0,86,251.41
Kakching,173,8976961,2695,11254.69,17,182.73,406,1725.23
Kamjong,1,6,6,32.83,1,0,18,14.81
Kangpokpi,2,9.78,95,483.4,53,453.41,1229,4436.43
Noney,5,43.88,16,86.51,17,261.04,836,1701.84
Pherzawl,0,0,0,0,0,0,0,0
Senapati,3,150019.2,34,150.78,123,560.25,2137,7114.17
Tamenglong,0,0,4,24.14,52,489.6,1930,10472.94
Tengnoupal,6,32.31,54,275.01,71,144.97,1335,2564.97
Thoubal,30,44082.24,369,1105.84,40,100.12,329,1222.96
Ukhrul,1,100000,18,108.21,240,1112.68,3051,10600.81
