District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC- Agri Os No.
Bishnupur,,255,6053.81,0,19,0,227,465,0,0,1716,2682
Chandel,,25,59.75,0,0,0,15,1,0,0,3,44
Churachandpur,,362,1179.98,0,106,10,90,35,0,0,359,962
Imphal East,,440,6868.25,9,65,57,658,82,0,0,1553,2864
Imphal West,,542,17197.3,12,169,20,695,266,0,1,3843,5548
Jiribam,,14,58.34,0,2,0,4,1,0,0,5,26
Kakching,,223,1915.31,0,9,0,40,270,0,0,204,746
Kamjong,,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,39,321,0,10,0,37,4,0,0,112,202
Noney,,0,89.09,0,0,0,0,1,0,0,82,83
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,6,233.86,0,2,28,2,1,0,0,50,89
Tamenglong,,61,120.15,0,6,1,16,1,0,0,75,160
Tengnoupal,,19,58.41,0,0,0,1,1,0,0,36,57
Thoubal,,268,7092.59,1,22,33,268,95,0,0,2268,2955
Ukhrul,,32,412.21,0,10,0,17,3,0,0,303,365
