District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advance,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Bishnupur,2959.36,49236.59,0,52195.95,7347.62,60662.73,3949.69,71960.04,248.28,123.21,,137.87
Chandel,15268.92,0,0,15268.92,21857.62,18.35,145.35,22021.32,143.15,,,144.22
Churachandpur,137578,5394.62,0,142972.59,110207.7,2616.77,1236.47,114060.96,80.11,48.51,,79.78
Imphal East,150236.8,14546.7,73760.61,238544.08,112362.9,7915.73,53129.56,173408.15,74.79,54.42,72.03,72.69
Imphal West,37298.33,51680.96,913910.53,1002889.8,40936.65,62681.88,622443,726061.54,109.75,121.29,68.11,72.4
Jiribam,14091.67,200.42,0,14292.09,5362.82,222.87,0,5585.69,38.06,111.2,,39.08
Kakching,1054.18,28789.24,0,29843.42,1487.19,44347.94,0,45835.13,141.08,154.04,,153.59
Kamjong,1360.75,0,0,1360.75,1685,0,0,1685,123.83,,,123.83
Kangpokpi,46865.39,0,0,46865.39,37251.32,0,0,37251.32,79.49,,,79.49
Noney,9680.63,0,0,9680.63,4595.36,0,0,4595.36,47.47,,,47.47
Pherzawl,6.56,0,0,6.56,0,0,0,0,0,,,0
Senapati,57422.16,1548.08,0,58970.24,52076.38,1106.26,0,53182.64,90.69,71.46,,90.19
Tamenglong,998.73,15025.72,0,16024.45,357.22,11694.83,0,12052.05,35.77,77.83,,75.21
Tengnoupal,6305.02,6864.7,0,13169.72,13276.02,4309.33,0,17585.35,210.56,62.78,,133.53
Thoubal,11580.15,48754.34,0,60334.49,18156.51,79308.81,5453.48,102918.8,156.79,162.67,,170.58
Ukhrul,2415.42,38203.93,0,40619.35,4368.25,22833.85,0,27202.1,180.85,59.77,,66.97
