district,KCCsfor AH and Allied Activities No,Amt,Farm Production No,Dairy No,Farm Mechanisationn No,Poultry No,fisheries No,Godown No,Clinic No,Other No,Total IC- Agri Disb No
Bishnupur,5,948.38,0,1,0,18,4,0,0,315,343
Chandel,0,7.15,0,0,0,1,0,0,0,0,1
Churachandpur,0,186.24,0,2,0,7,0,0,0,33,42
Imphal East,36,957.54,0,5,0,50,5,0,0,283,379
Imphal West,18,4846.44,0,16,0,62,24,0,0,1018,1138
Jiribam,0,0,0,0,0,0,0,0,0,0,0
Kakching,1,30.79,0,0,0,0,5,0,0,2,8
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,52.92,0,1,0,9,0,0,0,10,20
Noney,0,7,0,0,0,0,0,0,0,5,5
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,31.47,0,0,0,0,0,0,0,3,3
Tamenglong,1,14.3,0,0,0,0,0,0,0,6,7
Tengnoupal,0,7.8,0,0,0,0,0,0,0,7,7
Thoubal,12,1916.41,0,4,0,41,7,0,0,568,632
Ukhrul,0,38.28,0,2,0,1,2,0,0,9,14
