District,Christians No.,Amt,Muslims No.,Buddhists No.,Sikhs No.,Zoroastrians No.,Jains No.,Total Minority Disb No.
Bishnupur,39,309.36,46,0,4,0,1,90
Chandel,306,1481.66,2,0,0,0,0,308
Churachandpur,1650,10170.53,91,2,0,0,0,1743
Imphal East,127,1563.94,134,1,2,0,0,264
Imphal West,496,6655.45,331,3,9,0,9,848
Jiribam,3,57.72,6,0,0,0,0,9
Kakching,66,657.04,20,0,3,0,0,89
Kamjong,13,69.39,0,0,0,0,0,13
Kangpokpi,499,2595.05,4,0,0,0,0,503
Noney,39,391.36,0,0,0,0,0,39
Pherzawl,0,0,0,0,0,0,0,0
Senapati,738,3392,56,3,0,0,0,797
Tamenglong,72,701.79,0,1,1,0,0,74
Tengnoupal,174,914.81,26,0,1,0,0,201
Thoubal,44,1301.97,361,0,1,0,0,406
Ukhrul,455,2311.35,1,1,1,0,0,458
