District,Bank Name,Number of Operative CASA,Number of Aadhaar Seeded CASA,Number of Authenticated CASA
Bishnupur,BOB,290946,213149,208960
Chandel,BOI,34880,26246,21297
Churachandpur,BOM,265820,198424,121668
Imphal East,CAN,422180,313227,270657
Imphal West,CBI,833205,558335,475969
Jiribam,IND,46010,28529,14172
Kakching,IOB,175231,126583,105179
Kamjong,PNB,5471,3649,2237
Kangpokpi,PSB,100715,64141,41942
Noney,SBI,29245,22828,17144
Pherzawl,UCO,25,25,25
Senapati,UNI,121336,73913,48329
Tamenglong,Total,44783,37472,3187
Tengnoupal,AXIS,41043,31011,23615
Thoubal,BAND,313619,221333,181420
Ukhrul,HDFC,118491,90267,51487
