District,Bank Name,CHRISTIANS No.,Amt,MUSLIMS No.,BUDDHISTS No.,SIKHS No.,ZORASTRIAN No.,JAINS No.,Tot Minority No.
Bishnupur,,672,4673.21,653,6,38,0,2,1371
Chandel,,3720,19201.43,17,2,0,0,0,3739
Churachandpur,,14793,87875.2,947,18,6,0,##,16148
Imphal East,,2265,20861.18,2300,4,52,0,##,4726
Imphal West,,14842,78102.93,4888,30,134,1,##,20201
Jiribam,,135,879.9,141,1,3,0,0,280
Kakching,,803,4627.43,225,2,42,0,0,1072
Kamjong,,216,772.98,5,0,0,0,1,222
Kangpokpi,,5203,28530.76,193,3,10,0,##,5562
Noney,,1091,2660.22,2,0,1,0,0,1094
Pherzawl,,0,0,0,0,0,0,0,0
Senapati,,8650,43508.33,304,14,8,0,0,8976
Tamenglong,,2143,10177.35,14,1,1,0,0,2159
Tengnoupal,,2435,10322.83,234,3,3,0,5,2680
Thoubal,,471,13464.11,3946,4,26,2,1,4450
Ukhrul,,4666,21893.99,28,1,5,1,7,4708
