District,Bank Name,Micro Tl No.,Amt,Micro Wc No.,Small Tl No.,Small Wc No.,Medium Tl No.,Medium Wc No.,KVIC No.,Othersunder MSMEs No.,Clf No.,Tot Msme (PS) Disb No.
Bishnupur,,208,1684.86,76,2,4,0,0,2,0,0,292
Chandel,,75,113.16,21,0,0,0,0,0,0,0,96
Churachandpur,,294,3182.91,112,3,2,0,0,0,0,0,411
Imphal East,,443,5565.15,173,4,18,0,0,3,28,0,669
Imphal West,,1218,44184.86,443,66,100,5,3,20,41,0,1872
Jiribam,,3,71.27,1,0,0,0,0,0,0,0,4
Kakching,,125,1595.21,51,2,2,0,0,0,19,0,199
Kamjong,,8,4.32,2,0,0,0,0,0,0,0,10
Kangpokpi,,73,723.13,18,1,0,0,0,1,6,0,99
Noney,,8,68.57,8,0,0,0,0,0,0,0,16
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,149,945.31,41,5,1,0,0,1,0,0,197
Tamenglong,,11,72.42,6,2,0,0,0,0,0,0,19
Tengnoupal,,19,63.26,7,0,0,0,0,1,0,0,27
Thoubal,,261,2370.64,222,5,6,1,0,0,1,0,496
Ukhrul,,130,550.39,106,1,0,0,0,0,0,0,237
