District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bishnupur,74,80.85,246,291.57,1,4.02,11,6.02,2.06
Chandel,0,0,2,0.07,0,0,2,0.07,100
Churachandpur,141,175.03,304,450.72,20,36.7,7,7.52,1.67
Imphal East,113,251.31,910,1216.28,7,6.52,37,22.08,1.82
Imphal West,75,158.61,765,1015.66,8,8.55,15,15.66,1.54
Jiribam,16,48,70,77.89,1,0.29,0,0,0
Kakching,47,110.5,274,333.82,24,17.47,2,0.44,0.13
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,14,30.82,32,79.38,3,1.18,0,0,0
Noney,8,8,70,83.6,0,0,7,3.67,4.39
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,27,7.61,69,112.8,14,11.26,0,0,0
Tamenglong,13,78,14,17.28,0,0,0,0,0
Tengnoupal,10,48.65,158,210.46,13,21.6,18,22.92,10.89
Thoubal,247,439.65,784,1174.36,55,107.08,106,77.72,6.62
Ukhrul,2,3,27,31.89,0,0,0,0,0
