District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Bishnupur,0,0,36,103.12,446,4930.13,1,2.13,0,0,1525,742.77,2008,5778.15
Chandel,0,0,13,38.98,75,1116,0,0,0,0,62,72.31,150,1227.29
Churachandpur,0,0,96,239.01,558,7803.16,0,0,0,0,219,265.58,873,8307.75
Imphal East,0,0,170,539.38,874,8888.96,1,18.47,7,13.98,4696,1070.01,5748,10530.8
Imphal West,0,0,717,3289.11,2961,35413.61,5,189.4,101,184.09,2775,860.09,6559,39936.33
Jiribam,0,0,1,0.44,5,51.06,0,0,0,0,109,78.6,115,130.1
Kakching,0,0,29,70.66,221,3534.84,2,27.01,1,1.78,419,175.9,672,3810.19
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,16,67.16,124,1973.14,0,0,0,0,36,22.36,176,2062.66
Noney,0,0,4,7.84,1,26.52,0,0,0,0,0,0,5,34.36
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,53,205.06,195,3094.6,0,0,0,0,284,143.3,532,3442.96
Tamenglong,0,0,9,20.18,7,77.14,0,0,0,0,2,0,18,97.32
Tengnoupal,0,0,4,24.9,58,829.98,0,0,0,0,3,25.02,65,879.9
Thoubal,0,0,76,258.89,765,9101.53,0,0,7,7.57,2847,503.34,3695,9871.33
Ukhrul,0,0,12,27.68,10,92.65,0,0,0,0,157,110.39,179,230.72
