District,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Bishnupur,14,45.41,18,40.33,603,1103.05,343,597.93,54.21
Chandel,5,13.11,5,12.09,304,577.87,122,194.32,33.63
Churachandpur,0,0,2,3.45,319,702.78,194,296.29,42.16
Imphal East,16,77.92,38,99.89,846,2738.83,364,851.11,31.08
Imphal West,26,91.35,91,244.68,1466,5281.3,721,2186.93,41.41
Jiribam,0,0,0,0,11,21.88,7,11.36,51.92
Kakching,2,2.68,3,6.09,238,473.93,123,214.66,45.29
Kamjong,0,0,0,0,36,64.81,29,55.9,86.25
Kangpokpi,0,0,2,11.08,227,708.69,113,285.81,40.33
Noney,0,0,0,0,32,75.56,13,20.58,27.24
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,0,0,8,2.47,530,1167.32,262,442.23,37.88
Tamenglong,0,0,2,4.5,178,286.27,105,150.7,52.64
Tengnoupal,0,0,2,3.2,84,174.26,53,99.83,57.29
Thoubal,11,29.26,16,37.24,525,1483.72,243,440.89,29.72
Ukhrul,1,7.56,2,7.77,321,545.93,172,227.89,41.74
