district,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Schedule d Castes No,Schedule d Castes Amt,Schedule d Tribes No,Schedule d Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficia ries No,women beneficia ries Amt,Minority communi ties No,Minority communi ties Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Bishnupur,8878,10578.83,559,959.61,74,211,0,0,505,451.01,4829,1804.3,630,829.02,26,0.73,588,677.04,16089,15511.54
Chandel,321,260.23,3,2.57,281,475.49,0,0,1,0.01,131,54.57,526,1501.67,0,0,102,130.36,1365,2424.9
Churachandpur,4946,13892.69,39,301.64,2782,8111.17,0,0,265,396.88,1011,512.57,4186,16457.88,244,0,189,258.96,13662,39931.79
Imphal East,7840,12643.06,178,478.67,760,3343.65,1,0.09,887,1118.27,9270,2580.55,874,3117.52,49,0.03,722,854.59,20581,24136.43
Imphal West,22719,44985,629,2055.56,1743,8122.15,5,0.51,868,1040.52,9622,3337.56,1410,9657.15,164,1.74,1462,2533,38622,71733.16
Jiribam,247,417.74,9,19.5,1,0.3,0,0,55,61.51,59,12.47,22,67.71,0,0,9,16.26,402,595.49
Kakching,2835,6539.39,1508,4041.25,136,215.5,0,0,264,275.4,1544,489.67,112,324.42,0,0,252,325.91,6651,12211.54
Kamjong,15,15.71,0,0,15,5.79,0,0,0,0,45,16.73,98,85.24,0,0,1,1.98,174,125.45
Kangpokpi,593,1651.2,57,325.69,677,1786.29,0,0,42,99.15,350,162.94,1356,4549.06,1,0.01,122,187.42,3198,8761.76
Noney,600,1234.95,6,6.94,758,902.28,2,0.06,97,105.03,250,117.83,837,1130.54,1,0,11,15.59,2562,3513.22
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2876,4767.58,0,0,428,1514.17,0,0,86,207.65,771,407.92,2538,8265.83,0,0,210,335.69,6909,15498.84
Tamenglong,1763,9561.12,0,0,273,615.06,10,0.64,11,12.8,75,26.88,445,1367.36,4,0,24,24.89,2605,11608.75
Tengnoupal,924,1771.51,18,74.15,980,1252.92,0,0,118,109.21,416,221.22,866,1211.04,4,0.15,66,154.83,3392,4795.03
Thoubal,7382,12987.51,241,563.49,125,217.92,1,0.1,817,1065.09,5911,1634.03,1886,2465.94,163,2.79,642,753.86,17168,19690.73
Ukhrul,2326,8780.47,1,13.99,1039,1682.99,0,0,54,53.86,284,124.4,516,1147.43,0,0,74,172.7,4294,11975.84
