District,Bank Name,Total Agri (PS) O/S,Tot Agri (PS) NPA,Agri NPA Pct,Total Msme (PS) O/S,Tot Msme (PS) NPA,Msme NPA Pct,Total Other PS O/S,Tot Other (PS) NPA,Other (PS) NPA Pct,Total PS O/S,Tot (PS) NPA,TOTAL PSA NPA Pct
Bishnupur,,10126,1688,10.23,4349,2004,21.21,2008,1213,5.9,16483,4905,12.55
Chandel,,245,147,70.4,586,193,22.77,150,37,1.69,981,377,14.75
Churachandpur,,3846,1067,23.33,2627,823,17.08,873,103,1.21,7346,1993,12.76
Imphal East,,9373,1829,1.6,8698,3249,19.56,5748,4250,9.11,23819,9328,4.53
Imphal West,,24255,11363,17.17,18030,7759,14.34,6559,2597,2.84,48844,21719,12.91
Jiribam,,113,31,8.25,136,52,11.99,115,51,12.98,364,134,11.12
Kakching,,3174,1143,23,2777,1375,20.44,672,370,4.16,6623,2888,17.23
Kamjong,,20,0,0,109,34,32.44,0,0,,129,34,20.17
Kangpokpi,,1114,578,71.6,1118,379,21.06,176,26,1.44,2408,983,22.88
Noney,,618,179,18.5,360,125,23.99,5,0,0,983,304,20.53
Pherzawl,,0,0,,0,0,,0,0,,0,0,
Senapati,,2215,732,55.89,2009,566,16.28,532,200,3.41,4756,1498,19.31
Tamenglong,,306,145,34.19,482,173,19.39,18,1,0,806,319,20.72
Tengnoupal,,692,199,28.75,1151,491,41.59,65,1,0.02,1908,691,26.21
Thoubal,,9112,1386,7.62,5844,2395,25.84,3695,2513,5.28,18651,6294,12.77
Ukhrul,,934,331,30.36,1357,418,21.84,179,55,15.67,2470,804,23.7
