District,BHIM/UPI A/C,BHIM/UP I Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,4983223,127505.2,510,5186.46,837,2616.3,33731,96230.3,174959,6015.17,16460,419.72
Chandel,1416533,22379.58,53,470.59,15,0.47,2396,284.47,11974,625.69,7976,250.21
Churachandpur,9024462,176010.4,163,41.08,838,72.2,36197,176995.93,86232,4388.46,32577,789.37
Imphal East,10766357,309737.1,435,5841.08,4601,413.54,246897,450376.23,324295,22680.71,27239,698.65
Imphal West,27238645,738647.8,989,7304.34,14160,1386.99,296998,853136.12,666459,38481.56,93984,2765.19
Jiribam,1913322,30239.74,51,413.57,3705,15.93,20541,1474.7,25722,1411.25,1151,38.2
Kakching,3640781,82926.57,211,316.65,935,106.54,59482,223657.01,88173,3560.75,12717,276.86
Kamjong,174887,2971.81,0,0,0,0,0,0,19,0.22,520,12.38
Kangpokpi,3614031,66132.13,0,0,0,0,10080,2589.99,16445,925.33,16489,447.77
Noney,515429,11507.31,32,139.03,2,11.44,369,187,15147,192.14,1025,29.69
Pherzawl,8,60.51,8,60.51,0,0,1,0,0,0,0,0
Senapati,4288715,90061.14,0,0,588,46.93,14519,109043.63,25606,1521.39,16013,429.19
Tamenglong,1547154,28916.31,144,322.27,0,0,8373,1410.48,26489,1335.89,562,15.94
Tengnoupal,1273476,27149.36,5,4.07,165,20.3,6320,133606.36,20763,822.76,6357,192.77
Thoubal,6288271,176584.2,489,7906.4,1058,245.82,42914,106416.3,162057,5358.35,15883,467.11
Ukhrul,3805896,80428.97,51,377.52,3,43.11,18661,3791.61,55437,3035.76,7918,211.5
