District,Duringthe Quarter Savings Linked No.,Duringthe Quarter Savings Linked Amt,Duringthe Quarter Credit Linked No.,Duringthe Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Bishnupur,85,3.77,32,47.31,135,4.54,32,47.31,571,501.63,199,126.92,25.3
Chandel,11,0,0,0,11,0,0,0,2,0.07,2,0.07,100
Churachandpur,98,3.09,83,134.36,100,4.21,83,134.36,291,282.48,115,48.67,17.23
Imphal East,79,17.05,86,213.23,119,28.18,86,213.23,921,1212.93,65,39.78,3.28
Imphal West,142,12.06,96,199.25,329,239.34,140,255.63,936,1158.46,110,85.87,7.41
Jiribam,31,0.44,16,48,31,0.44,16,48,16,14.05,1,0.33,2.35
Kakching,21,0.5,77,92.28,52,1.23,77,92.28,304,323.25,104,64.2,19.86
Kamjong,14,0,0,0,14,0,0,0,0,0,0,0,0
Kangpokpi,14,0.11,12,23.8,25,0.48,7,15.4,45,115.53,5,4.2,3.64
Noney,56,1.68,8,8,56,1.68,8,8,97,105.95,14,6.51,6.14
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,50,0.64,8,10.38,50,0.64,8,10.38,95,283.71,1,0.39,0.14
Tamenglong,28,0.45,14,16.06,28,0.45,14,16.06,32,30.99,6,0.85,2.74
Tengnoupal,1,0.01,16,51.19,1,0.01,16,51.19,120,118.52,18,22.92,19.34
Thoubal,37,8.06,126,251.18,41,10.36,126,251.18,806,959.21,194,109.36,11.4
Ukhrul,72,1.05,2,3,72,1.05,2,3,73,56.07,17,3.48,6.21
