district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disburse d under PMAY No,Current Year Disburse d under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bishnupur,434,4671.29,405,6656.58,3,70.94,0,0,0,0,0,0
Chandel,75,1116,93,1590.44,136,2269.48,0,0,0,0,0,0
Churachandpur,556,7737.78,1040,19152.53,1285,19898.14,0,0,0,0,0,0
Imphal East,822,8290.08,1039,21298.65,968,16033.53,99,1033.88,1,0.07,99,1033.88
Imphal West,10018,35140.33,4503,90982.63,310,5055.71,62,640.85,2,0.13,62,640.85
Jiribam,5,51.06,8,141.93,2,25.5,0,0,0,0,0,0
Kakching,221,3534.84,331,6508.43,14,191.57,0,0,0,0,0,0
Kamjong,0,0,0,0,299,4256.87,0,0,0,0,0,0
Kangpokpi,124,1973.14,225,3289.64,4,140.39,0,0,0,0,0,0
Noney,1,26.52,1,34.24,2,60.76,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,104,1674.05,211,2818.13,651,10841.95,0,0,0,0,0,0
Tamenglong,8,102.55,8,144.93,0,0,0,0,0,0,0,0
Tengnoupal,58,829.98,62,1175.4,89,1515.88,0,0,0,0,0,0
Thoubal,624,7050.2,691,10475.77,254,3772.3,17,346.86,0,0,18,362.22
Ukhrul,10,92.65,8,409.92,0,0,0,0,0,0,0,0
