District,Export Credit No.,Amt,Education (PS) No.,Housing (PS) No.,Social Infrastructure No.,Renewable Energy No.,Informal Credit No.,Total Other PS Disb No.,Loans to Weaker No.
Bishnupur,0,1867.61,5,33,1,0,7,46,1034
Chandel,0,131.78,4,0,0,0,0,4,116
Churachandpur,0,4022.32,13,11,0,0,9,33,985
Imphal East,0,3303.99,24,73,0,3,33,133,1474
Imphal West,0,9584.46,141,190,2,55,4,392,2673
Jiribam,0,99.34,0,0,0,0,16,16,20
Kakching,0,2059.36,9,10,0,1,2,22,595
Kamjong,0,4.07,0,0,0,0,0,0,10
Kangpokpi,0,797.12,4,3,0,0,0,7,547
Noney,0,228.74,0,0,0,0,0,0,36
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,0,1274.88,4,6,0,0,3,13,486
Tamenglong,0,597.02,0,0,0,0,0,0,80
Tengnoupal,0,171.27,0,4,0,0,0,4,113
Thoubal,0,3961.93,15,119,0,2,0,136,1577
Ukhrul,0,1231.53,2,1,0,0,0,3,348
