district,disbursement_made_by_nodal_branches_no_of,forwarded_to_bank_no_of_prj,margin_money_claimed_no_of,mm,mm_involve,sanctioned_by_bank_no_of
Alipurduar,18.0,200.0,18.0,46.92,39.31,13.0
Bankura,69.0,425.0,71.0,134.11,263.25,112.0
Birbhum,30.0,239.0,34.0,66.85,169.39,78.0
Cooch Behar,15.0,875.0,17.0,32.89,118.78,53.0
Dakshin Dinajpur,36.0,137.0,31.0,126.29,175.07,49.0
Darjeeling,16.0,229.0,17.0,26.73,72.83,20.0
Hooghly,10.0,257.0,15.0,30.98,46.93,19.0
Howrah,9.0,177.0,14.0,20.97,74.84,33.0
Jalpaiguri,1.0,327.0,1.0,1.05,48.43,8.0
Kolkata,2.0,131.0,1.0,8.03,16.74,3.0
Malda,7.0,302.0,7.0,7.09,45.32,43.0
Murshidabad,25.0,883.0,27.0,58.2,91.19,38.0
Nadia,31.0,222.0,36.0,131.83,160.0,47.0
Paschim Medinipur,7.0,886.0,10.0,14.94,82.68,43.0
Purulia,3.0,104.0,3.0,16.27,42.3,20.0
Uttar Dinajpur,7.0,65.0,6.0,33.29,14.47,5.0
