district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,181.88,2087.0,245.75,58141.0,10.0,60238.0
Bankura,217.02,3863.0,227.84,49550.0,493.0,53906.0
Birbhum,431.77,7020.0,438.21,117825.0,516.0,125361.0
Cooch Behar,517.11,7915.0,553.1,150407.0,290.0,158612.0
Dakshin Dinajpur,195.78,2386.0,202.36,57519.0,196.0,60101.0
Howrah,686.81,8049.0,704.69,186099.0,886.0,195034.0
Jalpaiguri,473.1,6694.0,496.05,151024.0,565.0,158283.0
Kalimpong,2.09,99.0,2.09,352.0,0.0,451.0
Kolkata,944.29,9885.0,983.29,171258.0,4411.0,185554.0
Malda,397.64,5501.0,406.42,105852.0,497.0,111850.0
Murshidabad,907.23,8275.0,940.01,292423.0,645.0,301343.0
Nadia,699.18,7619.0,730.56,213529.0,821.0,221969.0
North 24 Parganas,1117.44,13808.0,1149.33,295200.0,1912.0,310920.0
Paschim Medinipur,498.83,10023.0,518.95,89521.0,1217.0,100761.0
Purba Bardhaman,837.85,11035.0,864.75,206342.0,1948.0,219325.0
Purba Medinipur,441.05,7831.0,455.35,84029.0,952.0,92812.0
South 24 Parganas,788.68,9584.0,813.06,225973.0,826.0,236383.0
Uttar Dinajpur,393.63,4624.0,399.58,110041.0,257.0,114922.0
