district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_persons_participated,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp
Alipurduar,64.0,1622.0,72.0,32.0,1474.0,141.0
Bankura,121.0,840.0,228.0,64.0,608.0,172.0
Birbhum,105.0,460.0,211.0,92.0,310.0,64.0
Cooch Behar,120.0,3401.0,150.0,90.0,2114.0,656.0
Dakshin Dinajpur,72.0,722.0,70.0,50.0,505.0,90.0
Darjeeling,40.0,1806.0,75.0,24.0,1504.0,270.0
Hooghly,151.0,3854.0,242.0,116.0,2861.0,648.0
Howrah,144.0,2714.0,194.0,90.0,2361.0,315.0
Jalpaiguri,46.0,951.0,79.0,32.0,628.0,126.0
Malda,81.0,1024.0,185.0,67.0,734.0,105.0
Murshidabad,178.0,4587.0,268.0,148.0,3025.0,896.0
Nadia,121.0,896.0,129.0,60.0,462.0,310.0
Paschim Medinipur,216.0,9185.0,328.0,162.0,6165.0,1408.0
Purba Bardhaman,163.0,3790.0,376.0,146.0,3290.0,410.0
Purba Medinipur,68.0,862.0,301.0,60.0,485.0,232.0
Purulia,78.0,1199.0,131.0,72.0,825.0,195.0
Uttar Dinajpur,52.0,647.0,94.0,34.0,420.0,86.0
