district,achievement_as_on_no,amt,amt_in_lac,average_rs_lac,of_achievement_no,target_for_2017_18_no
Alipurduar,6406.0,67.76,10610.58,1.66,69.96,9157.0
Bankura,14243.0,48.83,22326.19,1.57,67.29,21166.0
Birbhum,20090.0,80.09,43826.37,2.18,87.38,22991.0
Cooch Behar,17221.0,64.22,28350.86,1.65,69.43,24802.0
Dakshin Dinajpur,5212.0,42.7,9942.74,1.91,50.14,10394.0
Darjeeling,462.0,41.02,1060.73,2.3,30.78,1501.0
Hooghly,17910.0,78.79,28705.03,1.6,87.01,20584.0
Howrah,11522.0,76.22,26399.73,2.29,81.5,14137.0
Jalpaiguri,14377.0,83.21,24774.78,1.72,91.74,15671.0
Jhargram,5732.0,66.34,9391.68,1.64,77.8,7368.0
Kalimpong,194.0,23.52,369.77,1.91,21.6,898.0
Malda,15161.0,52.7,25115.12,1.66,65.53,23135.0
Murshidabad,24285.0,72.39,45620.85,1.88,77.07,31512.0
Nadia,26930.0,60.62,24307.78,0.9,114.84,23450.0
North 24 Parganas,15987.0,63.26,29744.06,1.86,66.64,23990.0
Paschim Bardhaman,956.0,19.23,1841.31,1.93,23.0,4157.0
Paschim Medinipur,22363.0,80.64,34964.64,1.56,99.0,22588.0
Purba Bardhaman,10996.0,40.91,23071.62,2.1,44.38,24779.0
Purba Medinipur,24605.0,63.84,48959.71,1.99,70.58,34862.0
Purulia,7178.0,44.19,13368.0,1.86,42.47,16901.0
South 24 Parganas,20125.0,76.04,33490.23,1.66,79.97,25166.0
Uttar Dinajpur,6481.0,37.82,11306.77,1.74,39.24,16517.0
