district,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_5,no_of_persons_participated_in_literacy_camps_during_the_quarter_326,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_166,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_68,sl_no_1
Bankura,4.0,224.0,134.0,68.0,8.0
Birbhum,,,,0.0,14.0
Cooch Behar,7.0,506.0,385.0,81.0,36.0
Dakshin Dinajpur,6.0,165.0,76.0,64.0,6.0
Darjeeling,4.0,420.0,309.0,56.0,22.0
Hooghly,6.0,262.0,142.0,84.0,12.0
Howrah,5.0,496.0,226.0,174.0,10.0
Jalpaiguri,17.0,1452.0,956.0,381.0,20.0
Malda,5.0,78.0,58.0,12.0,31.0
Murshidabad,9.0,287.0,202.0,66.0,39.0
Nadia,5.0,226.0,96.0,80.0,9.0
Purba Bardhaman,4.0,510.0,262.0,181.0,13.0
Purulia,,,,,24.0
Uttar Dinajpur,7.0,240.0,148.0,74.0,4.0
