district,no_of_applicantion_uploaded_62298,s_no_1
Bankura,60940.0,10.0
Dakshin Dinajpur,1951.0,15.0
Hooghly,113069.0,19.0
Howrah,31.0,20.0
Malda,11414.0,29.0
Murshidabad,5550.0,31.0
Nadia,14343.0,32.0
Purulia,6.0,37.0
