district,sum_of_aadhaar_seeded,sum_of_rupaycard_issued,sum_of_rural_a_c,sum_of_total_a_c,sum_of_total_deposit_rs_in_crore,sum_of_urban_a_c,sum_of_zero_balance_account
Alipurduar,47447.0,62048.0,35105.0,63486.0,21.38,28381.0,6025.0
Bankura,1109555.0,1239149.0,1257371.0,1463616.0,473.92,206245.0,176296.0
Birbhum,1111812.0,884989.0,1072088.0,1415405.0,334.25,343317.0,189517.0
Cooch Behar,785227.0,748292.0,683985.0,1044073.0,176.39,360088.0,96072.0
Dakshin Dinajpur,548802.0,604308.0,669030.0,743862.0,150.38,74832.0,99557.0
Darjeeling,417790.0,427658.0,240048.0,522008.0,236.02,281960.0,66820.0
Hooghly,1123594.0,968844.0,801302.0,1339857.0,546.67,538555.0,120558.0
Howrah,911746.0,834911.0,626392.0,1089812.0,460.14,463420.0,93090.0
Jalpaiguri,1111423.0,998870.0,776327.0,1389702.0,378.76,613375.0,156628.0
Kolkata,566753.0,690768.0,3608.0,787796.0,1123.3,784188.0,87495.0
Malda,1350963.0,1461361.0,1692222.0,1819811.0,516.91,127589.0,235300.0
Murshidabad,1921250.0,1541114.0,1661355.0,2557140.0,758.39,895785.0,279724.0
Nadia,1354700.0,1401579.0,1183433.0,1944884.0,705.71,761451.0,214926.0
North 24 Parganas,1894572.0,2010999.0,1360728.0,2544662.0,1528.12,1183934.0,219084.0
Paschim Medinipur,1465189.0,1447949.0,1485814.0,1833810.0,739.17,347996.0,168798.0
Purba Bardhaman,1485530.0,1310856.0,1269676.0,1896992.0,802.92,627316.0,217549.0
Purba Medinipur,1255943.0,1320428.0,1411249.0,1670733.0,630.64,259484.0,142853.0
South 24 Parganas,2027849.0,2069026.0,2030707.0,2783031.0,1051.76,752324.0,326213.0
Uttar Dinajpur,1116536.0,1338378.0,1296419.0,1629231.0,253.31,332812.0,295715.0
