district,amount_rs_in_lakhs,disbursement_no_of_cases,no_of_cases_sponsored,pending_with_bank_for_disbursement_no_of_cases,sanction_ed,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_released_no_of_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs
Alipurduar,225.03,4406.0,11353.0,247.0,4857.0,3357.89,4704.0,13376.82
Bankura,398.72,15025.0,36828.0,558.0,18171.0,10658.17,16391.0,41316.76
Birbhum,1838.8,16567.0,43096.0,3247.0,22988.0,12513.99,20714.0,48764.56
Cooch Behar,409.84,13278.0,31412.0,764.0,15232.0,7640.6,14232.0,28852.24
Dakshin Dinajpur,312.77,10488.0,22239.0,533.0,12137.0,5310.33,11643.0,25850.78
Darjeeling,79.36,2845.0,10198.0,70.0,4241.0,2008.82,3195.0,7788.14
Hooghly,143.97,17649.0,46873.0,146.0,19319.0,12749.26,18339.0,46821.96
Howrah,832.73,12887.0,39988.0,1270.0,15013.0,6857.33,14680.0,27358.77
Jalpaiguri,216.14,12043.0,24336.0,267.0,14637.0,9934.49,13108.0,43752.46
Jhargram,0.0,581.0,43.0,0.0,0.0,0.0,581.0,0.0
Kalimpong,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
Kolkata,156.91,8879.0,22731.0,197.0,9931.0,4794.98,10473.0,18980.75
Malda,140.11,14900.0,58502.0,126.0,15325.0,8473.41,15658.0,39444.3
Murshidabad,348.71,21589.0,43226.0,527.0,23221.0,13009.88,23161.0,54152.46
Nadia,488.04,14440.0,42629.0,652.0,18140.0,9665.12,16158.0,38426.01
Paschim Bardhaman,145.2,121.0,710.0,173.0,381.0,364.92,294.0,1248.34
Paschim Medinipur,110.95,16706.0,58044.0,102.0,21489.0,15627.54,17279.0,66863.42
Purba Bardhaman,1664.58,20301.0,63036.0,2040.0,27023.0,18177.51,23769.0,72995.75
Purba Medinipur,611.14,17596.0,32502.0,865.0,19497.0,11738.19,19123.0,41513.66
Purulia,372.04,8529.0,26152.0,539.0,11308.0,6395.47,9343.0,27871.32
Uttar Dinajpur,215.31,10739.0,23976.0,273.0,12242.0,7827.32,11256.0,30346.47
