district,cd_ratio_as_on_dec,cd_ratio_december_2017_amount_in_rs_crore
Alipurduar,35.0,4128.28
Bankura,29.0,9578.19
Birbhum,31.0,11450.22
Cooch Behar,58.0,6098.45
Dakshin Dinajpur,50.0,3204.03
Darjeeling,49.0,15760.54
Hooghly,25.0,36687.62
Howrah,30.0,28170.58
Jalpaiguri,40.0,6712.63
Kolkata,85.0,301522.76
Malda,49.0,7413.57
Murshidabad,48.0,11528.0
Nadia,41.0,22373.82
Paschim Bardhaman,37.0,30415.26
Paschim Medinipur,37.0,17746.9
Purba Bardhaman,,25475.21
Purba Medinipur,44.0,19295.42
Purulia,34.0,7194.76
Uttar Dinajpur,50.0,4741.39
