district,Name of Bank Branches,No. of ATMs,Location
AXIS Bank,,2,Imphal Branch
Allhabad Bank,,1,Near Pologround
Bandhan Bank,,1,Imphal Branch
Bishnupur District’s SBI,,2,SBI Bishnupur Branch
Chandel District’s SBI,,2,"One Each at: SBI Chandel Branch, SBI Chakpikarong Branch"
Churachandpur District’s SBI,,2,SBI Loktak HEPA Branch
Kakching District’s SBI,,4,"One each at: Azad Cinema, Kakching Khongnangphangba, AR Kakching, SBI Kakching Branch."
Kamjong District’s SBI,,1,SBI Kamjong
Noney District’s SBI,,1,SBI Noney Branch
Tengnoupal District’s SBI,,3,"One each at: Near SBI BSF Kangsang Branch, SBI Moreh Branch, Pallel."
Thoubal District’s SBI,,2,Thoubal Branch
Ukhrul D.istrict’s SBI,,2,"One each at: SBI Ukhrul, Ukhrul Police Station."
