District,Deposit,Advance,CD ratio Norm 60%,Crop Loan/KCC,% of Agri. Advto NBC 18%,Total Priority Sector Advances,% of PS Advanceto NBC Norm 40%
Bishnupur,19058.59,14374.33,75,1571.45,26,11328.65,79
Chandel,7828.25,6530.58,83,106.64,3,3155.30,48
Churachandpur,47068.10,26286.08,56,553.05,15,16071.10,61
Imphal East,71578.57,39604.86,55,2213.03,15,26368.57,67
Imphal West,501231.15,214952.60,43,6405.99,11,134942.43,63
Jiribam,3200.85,398.41,12,14.59,48,368.66,93
Kakching,8937.50,8679.01,97,146.85,30,6162.80,71
Kamjong,638.57,527.48,83,0.00,0,169.33,32
Kangpokpi,11304.76,10842.27,96,146.40,21,6083.19,56
Noney,1524.32,757.71,50,6.50,8,411.09,54
Pherzawl,6.93,0.00,0,0.00,0,0.00,0
Senapati,19823.44,16906.94,85,802.53,9,7716.72,46
Tamenglong,9865.22,2624.84,27,4.00,32,2365.63,90
Tengnoupal,6942.61,5340.02,77,79.80,16,2541.11,48
Thoubal,22550.79,16378.27,73,1322.69,23,10330.53,63
Ukhrul,17283.06,4967.61,29,66.67,17,3614.23,73
