district,Agriculture,KCC,Education Loan,Housing Loan,Renewable Energy,Social Infrastructure,MSME,Others,Priority Sec. Total,Non- Priority,Grand Total,SHG Linkage,JLG
Bishnupur,8423.00,2000,80.00,1100.00,17.00,396.00,1356.00,107.00,12303.00,2500.00,14803.00,100,60
Chandel,2225.00,318,32.00,203.00,6.00,46.00,960.00,98.00,4171.00,1414.00,5585.00,18,13
Churachandpur,4748.00,1170,239.00,1623.00,71.00,128.00,2065.00,229.00,10357.00,5659.00,16016.00,96,68
Imphal East,9370.00,2000,350.00,1600.00,24.00,9.00,3425.00,347.00,17320.00,1300.00,18620.00,207,83
Imphal West,11825.00,16000,2200.00,9200.00,235.00,280.00,10853.00,1347.00,43025.00,16100.00,59125.00,362,62
Jiribam,368.00,100,10.00,30.00,1.00,2.00,88.00,10.00,568.00,50.00,618.00,5,2
Kakching,4066.00,1352,108.00,252.00,32.00,26.00,896.00,64.00,5972.00,1821.00,7793.00,42,30
Kamjong,348.00,100,5.00,0.00,1.00,2.00,68.00,3.00,473.00,50.00,523.00,5,2
Kangpokpi,2515.00,945,125.00,180.00,10.00,75.00,1105.00,120.00,4830.00,2440.00,7270.00,42,30
Noney,1166.00,200,20.00,0.00,2.00,20.00,243.00,23.00,1636.00,150.00,1786.00,25,10
Pherzawl,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Senapati,3333.00,1300,104.00,322.00,13.50,160.00,1957.00,216.50,7409.00,3070.00,10479.00,60,43
Tamenglong,2167.00,300,20.00,0.00,2.00,20.00,302.00,28.00,2737.00,150.00,2887.00,25,10
Tengnoupal,2683.00,246,42.00,151.00,7.00,36.00,693.00,70.00,4092.00,1027.00,5119.00,36,26
Thoubal,9574.00,3402,266.00,733.00,64.00,55.00,1958.00,122.00,13974.00,2463.00,16437.00,78,55
Ukhrul,2389.00,1000,70.00,0.00,8.00,9.00,467.00,38.00,3259.00,300.00,3559.00,35,12
