District,Lead Bank Allotted To,No. of villages,No. ofhouse – holds,Households Covered (Accounts Opened),% of householdscovered,No. of KCC issued
Thoubal,a di n I of k n a B e at St,128,85295,175752,100,8570
Kakching,,,,,,889
Chandel,,447,29097,29917,100,1550
Tengnoupal,,,,,,1043
Churachandpur,,613,49916,71708,100,4213
Pherzawl,,,,,,0
Senapati,,934,34487,73153,100,5499
Kangpokpi,,,,,,2595
Imphal West,,150,111393,182918,100,20892
Imphal East,a di n I of k n a B d e nit U,195,91806,105643,100,7004
Jiribam,,,,,,54
Bishnupur,,48,44891,92208,100,7676
Tamenglong,,171,24477,32228,100,134
Noney,,,,,,17
Ukhrul,,198,35790,46798,100,576
Kamjong,,,,,,0
