District,POS Rural,"POS Semi-
Urban",POS Urban,Total Branch
Araria,2278,995,468,3741
Arwal,246,152,83,481
Aurangabad,2517,4922,2383,9822
Banka,897,997,247,2141
Begusarai,2298,2303,1329,5930
Bhagalpur,1872,3264,2597,7733
Bhojpur,1457,2001,1501,4959
Buxar,1281,622,842,2745
Darbhanga,2323,2691,3336,8350
Gaya,3554,2030,4112,9696
Gopalganj,2581,1566,161,4308
Jamui,1143,922,61,2126
Jehanabad,272,635,579,1486
Kaimur (Bhabua),1128,630,153,1911
Katihar,1572,1946,1216,4734
Khagaria,1110,836,177,2123
Kishanganj,492,977,749,2218
Lakhisarai,735,448,88,1271
Madhepura,1886,1344,34,3264
Madhubani,4092,2713,77,6882
Munger,694,854,677,2225
Muzaffarpur,7863,6142,6327,20332
Nalanda,1683,2022,1101,4806
Nawada,944,2370,225,3539
Pashchim Champaran,2840,743,653,4236
Patna,8802,13588,33259,55649
Purbi Champaran,5121,753,1076,6950
Purnia,2075,2353,2406,6834
Rohtas,1648,1992,1088,4728
Saharsa,964,1635,670,3269
Samastipur,4347,2451,368,7166
Saran,4641,1709,1764,8114
Sheikhpura,570,344,37,951
Sheohar,491,421,81,993
Sitamarhi,2391,2045,208,4644
Siwan,2008,2126,1520,5654
Supaul,1840,1051,51,2942
Vaishali,3682,2874,1608,8164
