District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,1109,33,68,0.45,6.13,1.36
Arwal,270,8,3,0.03,1.11,0.38
Aurangabad,1107,33,18,0.15,1.63,0.45
Banka,906,27,35,0.33,3.86,1.22
Begusarai,2042,61,34,0.35,1.67,0.57
Bhagalpur,1710,51,95,0.64,5.56,1.25
Bhojpur,1442,43,18,0.51,1.25,1.19
Buxar,805,24,13,0.14,1.61,0.58
Darbhanga,1575,47,129,0.84,8.19,1.79
Gaya,2344,70,37,0.25,1.58,0.36
Gopalganj,1207,36,58,0.44,4.81,1.22
Jamui,639,19,9,0.08,1.41,0.42
Jehanabad,404,12,2,0.02,0.50,0.17
Kaimur (Bhabua),637,19,8,0.04,1.26,0.21
Katihar,1272,38,264,1.80,20.75,4.74
Khagaria,571,17,61,0.38,10.68,2.24
Kishanganj,669,20,35,0.34,5.23,1.70
Lakhisarai,504,15,11,0.09,2.18,0.60
Madhepura,602,18,35,0.31,5.81,1.72
Madhubani,1473,44,190,3.23,12.90,7.34
Munger,776,23,18,0.12,2.32,0.52
Muzaffarpur,3443,103,183,1.14,5.32,1.11
Nalanda,1343,40,42,0.39,3.13,0.98
Nawada,905,27,27,0.20,2.98,0.74
Pashchim Champaran,1640,49,55,0.36,3.35,0.73
Patna,9345,280,839,4.57,8.98,1.63
Purbi Champaran,2242,67,59,0.43,2.63,0.64
Purnia,1440,43,134,1.00,9.31,2.33
Rohtas,1407,42,39,0.34,2.77,0.81
Saharsa,437,13,42,0.25,9.61,1.92
Samastipur,1875,56,60,0.54,3.20,0.96
Saran,1707,51,156,0.90,9.14,1.76
Sheikhpura,236,7,7,0.33,2.97,4.71
Sheohar,202,6,28,0.13,13.86,2.17
Sitamarhi,872,26,32,0.22,3.67,0.85
Siwan,2245,67,86,0.57,3.83,0.85
Supaul,604,18,23,0.15,3.81,0.83
Vaishali,1943,58,49,0.35,2.52,0.60
