District,TARGET,"Loan Under
Process","Loan
Sanctioned",% Sanction,"Loan
Disbursed",% Disbursed,Loan Rejected,Grand Total
Araria,210,107,25,11.90,10,4.76,82,214
Arwal,90,48,12,13.33,2,2.22,11,71
Aurangabad,240,132,21,8.75,3,1.25,60,213
Banka,180,84,27,15.00,5,2.78,75,186
Begusarai,360,219,53,14.72,11,3.06,87,359
Bhagalpur,470,143,27,5.74,17,3.62,63,233
Bhojpur,340,252,60,17.65,15,4.41,135,447
Buxar,190,168,57,30.00,25,13.16,130,355
Darbhanga,410,329,73,17.80,24,5.85,161,563
Gaya,450,478,77,17.11,25,5.56,148,703
Gopalganj,280,278,34,12.14,14,5.00,69,381
Jamui,130,60,25,19.23,8,6.15,29,114
Jehanabad,140,76,19,13.57,8,5.71,41,136
Kaimur (Bhabua),170,113,15,8.82,2,1.18,50,178
Katihar,270,195,54,20.00,13,4.81,142,391
Khagaria,170,97,28,16.47,17,10.00,53,178
Kishanganj,140,175,26,18.57,7,5.00,99,300
Lakhisarai,110,53,17,15.45,6,5.45,37,107
Madhepura,180,85,25,13.89,6,3.33,112,222
Madhubani,370,167,66,17.84,17,4.59,163,396
Munger,240,55,18,7.50,9,3.75,14,87
Muzaffarpur,610,451,90,14.75,34,5.57,474,1015
Nalanda,340,206,57,16.76,21,6.18,117,380
Nawada,160,104,37,23.13,14,8.75,68,209
Pashchim Champaran,340,252,52,15.29,16,4.71,208,512
Patna,830,389,192,23.13,82,9.88,280,861
Purbi Champaran,440,266,53,12.05,9,2.05,388,707
Purnia,380,235,28,7.37,7,1.84,245,508
Rohtas,340,181,42,12.35,11,3.24,70,293
Saharsa,220,224,14,6.36,3,1.36,285,523
Samastipur,450,311,78,17.33,25,5.56,254,643
Saran,340,342,67,19.71,20,5.88,127,536
Sheikhpura,90,41,15,16.67,6,6.67,50,106
Sheohar,80,98,28,35.00,13,16.25,59,185
Sitamarhi,360,369,100,27.78,15,4.17,421,890
Siwan,300,358,74,24.67,18,6.00,107,539
Supaul,220,169,44,20.00,23,10.45,254,467
Vaishali,360,357,70,19.44,30,8.33,125,552
