District,TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,74902,1041,8850,70.54,11.82,6.78
Arwal,28283,393,1274,9.97,4.50,2.54
Aurangabad,146198,2032,7024,58.53,4.80,2.88
Banka,56774,789,4741,38.67,8.35,4.90
Begusarai,123252,1713,14516,155.11,11.78,9.05
Bhagalpur,133897,1861,12483,122.85,9.32,6.60
Bhojpur,123320,1714,22280,132.07,18.07,7.71
Buxar,75407,1048,6307,48.46,8.36,4.62
Darbhanga,120517,1675,19252,138.01,15.97,8.24
Gaya,155698,2164,71723,349.56,46.07,16.15
Gopalganj,143173,1990,9870,79.83,6.89,4.01
Jamui,50801,706,3805,31.46,7.49,4.46
Jehanabad,41376,575,2403,30.40,5.81,5.29
Kaimur (Bhabua),91448,1271,5150,47.02,5.63,3.70
Katihar,80156,1114,12629,113.15,15.76,10.16
Khagaria,63175,878,4957,54.82,7.85,6.24
Kishanganj,45262,629,10160,86.60,22.45,13.77
Lakhisarai,44471,618,2785,33.78,6.26,5.47
Madhepura,51521,716,7209,54.03,13.99,7.55
Madhubani,102600,1426,9078,82.24,8.85,5.77
Munger,53535,744,2628,29.74,4.91,4.00
Muzaffarpur,204546,2843,29034,227.45,14.19,8.00
Nalanda,114976,1598,6215,75.76,5.41,4.74
Nawada,63391,881,5039,48.22,7.95,5.47
Pashchim Champaran,96775,1345,14004,131.80,14.47,9.80
Patna,247281,3437,139601,854.93,56.45,24.87
Purbi Champaran,145767,2026,17350,139.79,11.90,6.90
Purnia,80516,1119,8502,104.90,10.56,9.37
Rohtas,106271,1477,7626,67.38,7.18,4.56
Saharsa,59074,821,5275,47.10,8.93,5.74
Samastipur,135408,1882,17477,156.89,12.91,8.34
Saran,126920,1764,19781,135.58,15.59,7.69
Sheikhpura,24399,339,1697,24.45,6.96,7.21
Sheohar,19504,271,3409,22.31,17.48,8.23
Sitamarhi,70728,983,9146,74.70,12.93,7.60
Siwan,125908,1750,54859,287.50,43.57,16.43
Supaul,59146,822,4294,36.92,7.26,4.49
Vaishali,151812,2110,118948,579.12,78.35,27.45
