District,"KCC DISBURSED DURING
QUARTER (INCLUDING
RENEWAL) NO.",AMT.,"KCC DISBURSED DURING
FINANCIAL YEAR
(INCLUDING RENEWAL) NO.",AMT.,"KCC OUTSTANDING AS
ON 30.06.2025 NO.",AMT.,"KCC NPA AS ON
30.06.2025 NO.",AMT.,%AGE NPA NO.,AMT.,"RUPAY
CARD
ISSUED NO.","RUPAY
CARD
ACTIVATED NO."
Araria,8970,106.58,8970,106.58,114943,868.37,27101,235.82,23.58,27.16,56812,2039
Arwal,846,4.13,846,4.13,15507,97.43,9787,52.53,63.11,53.92,4107,3148
Aurangabad,2158,26.99,2158,26.99,78270,488.50,47337,346.95,60.48,71.02,33810,15595
Banka,2190,14.16,2190,14.16,89491,550.46,38010,210.06,42.47,38.16,29941,18440
Begusarai,7767,63.98,7767,63.98,165126,983.35,51871,362.72,31.41,36.89,45037,16429
Bhagalpur,3582,42.61,3582,42.61,95228,634.06,38912,259.17,40.86,40.87,28992,10837
Bhojpur,2568,22.01,2568,22.01,67379,415.14,36789,245.33,54.60,59.10,18975,12594
Buxar,2126,24.43,2126,24.43,64581,468.03,39818,329.56,61.66,70.41,19581,12027
Darbhanga,13446,115.97,13446,115.97,89227,574.22,11733,83.76,13.15,14.59,49087,2363
Gaya,3917,36.31,3917,36.31,128064,865.17,57118,404.03,44.60,46.70,47727,24128
Gopalganj,11416,106.71,11416,106.71,130280,1098.07,38425,273.99,29.49,24.95,70520,3837
Jamui,2678,16.64,2678,16.64,68818,491.68,46573,335.71,67.68,68.28,22638,13938
Jehanabad,2057,16.68,2057,16.68,48639,378.99,15746,113.30,32.37,29.90,13724,11697
Kaimur (Bhabua),2562,49.26,2562,49.26,60693,476.67,32075,273.02,52.85,57.28,27191,7396
Katihar,9120,117.91,9120,117.91,96424,823.91,33999,267.56,35.26,32.47,35397,3563
Khagaria,3732,34.99,3732,34.99,94450,527.21,54396,281.37,57.59,53.37,28170,8331
Kishanganj,8111,71.45,8111,71.45,85302,674.20,22559,182.85,26.45,27.12,47966,1464
Lakhisarai,839,8.42,839,8.42,44948,339.08,27122,194.84,60.34,57.46,11181,8452
Madhepura,6458,78.98,6458,78.98,59447,474.21,19321,169.03,32.50,35.64,34997,1991
Madhubani,16201,142.56,16201,142.56,184869,1237.36,32421,191.01,17.54,15.44,93780,6292
Munger,1439,12.72,1439,12.72,57262,386.03,24780,154.11,43.27,39.92,15093,12082
Muzaffarpur,19194,189.47,19194,189.47,193554,1447.40,56875,367.67,29.38,25.40,90394,7588
Nalanda,2938,31.95,2938,31.95,100891,622.26,61601,378.39,61.06,60.81,30782,18944
Nawada,1952,22.76,1952,22.76,78591,516.61,29773,219.46,37.88,42.48,21442,13439
Pashchim Champaran,19563,177.46,19563,177.46,183221,1423.10,40735,318.17,22.23,22.36,109338,7631
Patna,3482,66.79,3482,66.79,112313,853.46,55860,407.08,49.74,47.70,28076,16917
Purbi Champaran,18810,202.40,18810,202.40,267853,2006.86,73265,547.62,27.35,27.29,132977,11796
Purnia,13272,157.42,13272,157.42,136804,1165.42,40241,342.84,29.42,29.42,67450,6911
Rohtas,3793,59.27,3793,59.27,93763,746.04,52322,486.06,55.80,65.15,29685,17298
Saharsa,6239,74.19,6239,74.19,69068,573.78,21936,170.85,31.76,29.78,40833,3084
Samastipur,10503,76.92,10503,76.92,171237,1212.20,65576,497.86,38.30,41.07,64409,26329
Saran,10749,118.44,10749,118.44,95443,858.96,35822,264.68,37.53,30.81,45728,2971
Sheikhpura,1531,14.64,1531,14.64,40067,330.29,13469,95.62,33.62,28.95,11722,8961
Sheohar,3010,37.08,3010,37.08,28471,199.42,10367,57.14,36.41,28.65,13870,795
Sitamarhi,10994,113.07,10994,113.07,112938,811.29,38236,268.72,33.86,33.12,57651,2765
Siwan,11031,123.25,11031,123.25,97756,797.82,28469,225.05,29.12,28.21,56870,2527
Supaul,7939,84.82,7939,84.82,81576,720.13,32969,251.44,40.42,34.92,41266,2681
Vaishali,13414,150.65,13414,150.65,136271,1087.85,51330,352.30,37.67,32.38,68127,5423
