district,bc_fixed_point,bc_other,bc_total
Araria,1460,663,2123
Arwal,253,165,418
Aurangabad,1134,259,1393
Banka,872,350,1222
Begusarai,2104,793,2897
Bhagalpur,1027,679,1706
Bhojpur,1306,380,1686
Buxar,930,290,1220
Darbhanga,2670,898,3568
Gaya,2122,6391,8513
Gopalganj,1321,629,1950
Jamui,903,359,1262
Jehanabad,448,218,666
Kaimur (Bhabua),758,261,1019
Katihar,1154,518,1672
Khagaria,1104,398,1502
Kishanganj,686,319,1005
Lakhisarai,425,128,553
Madhepura,947,509,1456
Madhubani,3226,811,4037
Munger,519,225,744
Muzaffarpur,2323,9849,12172
Nalanda,1342,343,1685
Nawada,1168,438,1606
Pashchim Champaran,3097,963,4060
Patna,2235,147882,150117
Purbi Champaran,3313,1233,4546
Purnia,1557,489,2046
Rohtas,1055,536,1591
Saharsa,1328,519,1847
Samastipur,2446,1171,3617
Saran,1683,818,2501
Sheikhpura,260,145,405
Sheohar,330,224,554
Sitamarhi,1499,741,2240
Siwan,1222,716,1938
Supaul,1207,380,1587
Vaishali,2514,996,3510
