District,KCC - FISHERIES NEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,KCC - FISHERIES RENEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,TOTAL FISHERIES - AH (NEW+RENEW) TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,220,11,1,0.00,0.45,0.00,100,2,17,0.14,17.00,7.00,320,13,18,0.15,5.63,1.15
Arwal,180,9,0,0.00,0.00,0.00,50,1,0,0.01,0.00,1.00,230,10,0,0.01,0.00,0.10
Aurangabad,200,10,29,0.15,14.50,1.50,150,3,3,0.03,2.00,1.00,350,13,32,0.18,9.14,1.38
Banka,180,9,5,0.03,2.78,0.33,50,1,30,0.17,60.00,17.00,230,10,35,0.21,15.22,2.10
Begusarai,240,12,6,0.05,2.50,0.42,100,2,2,0.78,2.00,39.00,340,14,8,0.84,2.35,6.00
Bhagalpur,240,12,6,0.04,2.50,0.33,150,3,3,0.07,2.00,2.33,390,15,9,0.12,2.31,0.80
Bhojpur,220,11,10,0.06,4.55,0.55,150,3,0,0.03,0.00,1.00,370,14,10,0.09,2.70,0.64
Buxar,180,9,4,0.02,2.22,0.22,50,1,1,0.00,2.00,0.00,230,10,5,0.02,2.17,0.20
Darbhanga,240,12,3,0.04,1.25,0.33,200,4,45,0.23,22.50,5.75,440,16,48,0.28,10.91,1.75
Gaya,260,13,6,0.06,2.31,0.46,200,4,3,0.07,1.50,1.75,460,17,9,0.11,1.96,0.65
Gopalganj,200,10,1,0.01,0.50,0.10,100,2,28,0.11,28.00,5.50,300,12,29,0.13,9.67,1.08
Jamui,160,8,0,0.00,0.00,0.00,50,1,4,0.03,8.00,3.00,210,9,4,0.03,1.90,0.33
Jehanabad,180,9,0,0.02,0.00,0.22,50,1,3,0.03,6.00,3.00,230,10,3,0.05,1.30,0.50
Kaimur (Bhabua),160,8,0,0.00,0.00,0.00,50,1,0,0.00,0.00,0.00,210,9,0,0.00,0.00,0.00
Katihar,260,13,1,0.01,0.38,0.08,300,6,143,0.93,47.67,15.50,560,19,144,0.95,25.71,5.00
Khagaria,240,12,1,0.01,0.42,0.08,100,2,3,0.48,3.00,24.00,340,14,4,0.48,1.18,3.43
Kishanganj,180,9,1,0.01,0.56,0.11,100,2,7,0.09,7.00,4.50,280,11,8,0.10,2.86,0.91
Lakhisarai,160,8,0,0.00,0.00,0.00,50,1,3,0.01,6.00,1.00,210,9,3,0.01,1.43,0.11
Madhepura,180,9,0,0.00,0.00,0.00,50,1,10,0.19,20.00,19.00,230,10,10,0.18,4.35,1.80
Madhubani,320,16,10,0.11,3.13,0.69,350,7,157,1.56,44.86,22.29,670,23,167,1.66,24.93,7.22
Munger,180,9,0,0.00,0.00,0.00,100,2,1,0.01,1.00,0.50,280,11,1,0.01,0.36,0.09
Muzaffarpur,260,13,1,0.01,0.38,0.08,350,7,39,0.42,11.14,6.00,610,20,40,0.43,6.56,2.15
Nalanda,220,11,11,0.05,5.00,0.45,200,4,12,0.28,6.00,7.00,420,15,23,0.34,5.48,2.27
Nawada,200,10,10,0.04,5.00,0.40,100,2,0,0.01,0.00,0.50,300,12,10,0.06,3.33,0.50
Patna,360,18,5,0.02,1.39,0.11,400,8,1,0.05,0.25,0.63,760,26,6,0.07,0.79,0.27
Purbi Champaran,220,11,6,0.04,2.73,0.36,200,4,65,0.82,32.50,20.50,420,15,71,0.86,16.90,5.73
Purnia,340,17,0,0.00,0.00,0.00,400,8,82,0.55,20.50,6.88,740,25,82,0.57,11.08,2.28
Rohtas,200,10,0,0.01,0.00,0.10,150,3,6,0.10,4.00,3.33,350,13,6,0.11,1.71,0.85
Saharsa,160,8,2,0.01,1.25,0.13,50,1,18,0.09,36.00,9.00,210,9,20,0.09,9.52,1.00
Samastipur,240,12,3,0.04,1.25,0.33,250,5,7,0.40,2.80,8.00,490,17,10,0.43,2.04,2.53
Saran,220,11,2,0.01,0.91,0.09,200,4,62,0.24,31.00,6.00,420,15,64,0.23,15.24,1.53
Sheikhpura,160,8,0,0.00,0.00,0.00,50,1,5,0.02,10.00,2.00,210,9,5,0.02,2.38,0.22
Sheohar,240,12,1,0.01,0.42,0.08,50,1,1,0.04,2.00,4.00,290,13,2,0.05,0.69,0.38
Sitamarhi,180,9,4,0.04,2.22,0.44,100,2,6,0.05,6.00,2.50,280,11,10,0.08,3.57,0.73
Siwan,240,12,0,0.00,0.00,0.00,100,2,23,0.10,23.00,5.00,340,14,23,0.11,6.76,0.79
Supaul,160,8,2,0.04,1.25,0.50,50,1,6,0.07,12.00,7.00,210,9,8,0.11,3.81,1.22
Vaishali,220,11,0,0.00,0.00,0.00,150,3,4,0.05,2.67,1.67,370,14,4,0.04,1.08,0.29
