district,no_of_rural_branches_in_district,no_of_camps_conducted_during_the_quarter
Araria,86,64
Arwal,42,105
Aurangabad,123,404
Banka,85,112
Begusarai,86,162
Bhagalpur,101,138
Bhojpur,124,379
Buxar,86,259
Darbhanga,118,67
Gaya,188,434
Gopalganj,129,128
Jamui,74,196
Jehanabad,59,141
Kaimur (Bhabua),89,222
Katihar,107,115
Khagaria,40,120
Kishanganj,64,47
Lakhisarai,44,123
Madhepura,39,30
Madhubani,125,194
Munger,61,165
Muzaffarpur,186,170
Nalanda,145,393
Nawada,75,488
Pashchim Champaran,106,70
Patna,203,436
Purbi Champaran,108,276
Purnia,98,65
Rohtas,133,347
Saharsa,47,41
Samastipur,171,339
Saran,169,131
Sheikhpura,31,127
Sheohar,19,49
Sitamarhi,56,107
Siwan,145,105
Supaul,49,32
Vaishali,143,94
