District,"Loans to weaker sections
under Priority Sector No.",Amt.,"Out of Loans to weaker
Sections in PSL, loans to
individual women
beneficiaries up to ₹1 lakh No.",Amt.,"Out of Agriculture, loans to
Small & Marginal Farmers No.",Amt.
Araria,251341,2067.76,93822,323.59,161309,1365.95
Arwal,46171,385.37,18074,57.47,35252,322.48
Aurangabad,191825,1636.67,73980,262.35,161711,1416.64
Banka,165132,1221.68,62576,211.35,95133,648.59
Begusarai,338965,2653.77,103828,399.04,204259,1677.61
Bhagalpur,258695,2064.26,115571,404.69,165944,1292.28
Bhojpur,308419,1720.80,87929,290.25,138218,1108.45
Buxar,144229,1129.38,53338,204.35,120137,933.03
Darbhanga,340056,2195.85,86949,354.82,146323,992.47
Gaya,668451,3831.94,247838,817.41,241504,2299.30
Gopalganj,254779,2079.92,78725,320.36,151208,1216.95
Jamui,160265,1217.10,57614,233.90,121970,897.42
Jehanabad,59032,641.60,16977,63.18,50730,542.11
Kaimur (Bhabua),127222,1178.11,40997,149.58,106153,1038.31
Katihar,315793,2684.46,90249,325.52,135242,1259.26
Khagaria,190466,1403.14,61324,236.19,159160,1136.97
Kishanganj,178721,1624.98,54416,228.52,120316,1036.49
Lakhisarai,94062,729.94,30010,125.78,65462,523.26
Madhepura,210297,1463.53,55874,219.25,139667,953.72
Madhubani,281100,2293.84,80357,313.12,231546,1329.88
Munger,106550,768.82,42743,153.67,68246,481.59
Muzaffarpur,615214,4124.91,314832,977.96,456096,3020.35
Nalanda,193996,1813.66,71449,250.58,147885,1492.36
Nawada,159574,1376.40,68216,246.10,128666,1159.76
Pashchim Champaran,349042,2655.54,111242,395.37,236930,1756.12
Patna,1777231,7413.49,903047,2222.40,883720,4247.50
Purbi Champaran,425401,3886.20,144372,538.14,318012,2888.93
Purnia,298808,2718.16,123984,465.96,187024,1604.09
Rohtas,212642,1865.59,79086,256.48,172375,1562.08
Saharsa,154979,1353.53,56774,216.79,112006,1070.86
Samastipur,388665,3088.83,149543,562.66,309963,2368.08
Saran,360071,2541.29,149855,542.83,211748,1676.72
Sheikhpura,59510,521.35,21174,85.51,41082,350.14
Sheohar,46121,479.84,8462,32.76,33674,384.83
Sitamarhi,196724,1935.39,47812,204.11,146851,1383.93
Siwan,705976,3367.36,155608,507.05,214455,1419.81
Supaul,143802,1462.62,28053,147.05,96105,1049.38
Vaishali,1409310,5434.95,101880,388.86,179433,1573.85
