district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1500,0.99,89,0.99,5.93,0.99
Arwal,407,0.61,11,0.61,2.70,0.61
Aurangabad,1655,1.73,153,1.73,9.24,1.73
Banka,1231,1.38,64,1.38,5.20,1.38
Begusarai,2748,1.83,35,1.83,1.27,1.83
Bhagalpur,2612,0.62,85,0.62,3.25,0.62
Bhojpur,2101,1.02,26,1.02,1.24,1.02
Buxar,1209,0.02,3,0.02,0.25,0.02
Darbhanga,2256,0.77,46,0.77,2.04,0.77
Gaya,3145,1.38,294,1.38,9.35,1.38
Gopalganj,1923,2.41,63,2.41,3.28,2.41
Jamui,1029,0.76,24,0.76,2.33,0.76
Jehanabad,673,1.23,8,1.23,1.19,1.23
Kaimur (Bhabua),985,0.52,19,0.52,1.93,0.52
Katihar,1877,1.29,146,1.29,7.78,1.29
Khagaria,987,1.02,19,1.02,1.93,1.02
Kishanganj,1006,0.96,57,0.96,5.67,0.96
Lakhisarai,718,0.53,11,0.53,1.53,0.53
Madhepura,1008,0.76,20,0.76,1.98,0.76
Madhubani,2302,0.95,116,0.95,5.04,0.95
Munger,1078,0.19,15,0.19,1.39,0.19
Muzaffarpur,4636,4.71,188,4.71,4.06,4.71
Nalanda,1989,0.47,50,0.47,2.51,0.47
Nawada,1410,0.98,36,0.98,2.55,0.98
Pashchim Champaran,2034,1.38,43,1.38,2.11,1.38
Patna,13574,0.98,405,0.98,2.98,0.98
Purbi Champaran,2901,1.18,87,1.18,3.00,1.18
Purnia,2213,2.95,108,2.95,4.88,2.95
Rohtas,2146,0.25,32,0.25,1.49,0.25
Saharsa,718,0.66,30,0.66,4.18,0.66
Samastipur,2723,2.48,79,2.48,2.90,2.48
Saran,2567,0.60,89,0.60,3.47,0.60
Sheikhpura,497,1.68,24,1.68,4.83,1.68
Sheohar,248,0.64,7,0.64,2.82,0.64
Sitamarhi,1364,4.41,57,4.41,4.18,4.41
Siwan,3011,0.95,117,0.95,3.89,0.95
Supaul,1008,1.27,16,1.27,1.59,1.27
Vaishali,2591,3.72,125,3.72,4.82,3.72
