district,agriculture_target,achie,ach,msme_target,achie,ach,o_p_s_target,achie,ach,tps_target,achie,ach,n_p_s_target,achie,ach,grand_total_target,achie,ach
Araria,2249,1594.12,26.45,2122,1594.12,26.45,227,1594.12,26.45,4598,1594.12,26.45,1428,1594.12,26.45,6026,1594.12,26.45
Arwal,810,371.37,16.99,860,371.37,16.99,60,371.37,16.99,1730,371.37,16.99,456,371.37,16.99,2186,371.37,16.99
Aurangabad,4516,1143.65,13.79,2071,1143.65,13.79,215,1143.65,13.79,6802,1143.65,13.79,1493,1143.65,13.79,8295,1143.65,13.79
Banka,1743,535.13,11.71,1569,535.13,11.71,216,535.13,11.71,3528,535.13,11.71,1042,535.13,11.71,4570,535.13,11.71
Begusarai,3572,2663.83,27.20,4071,2663.83,27.20,302,2663.83,27.20,7945,2663.83,27.20,1850,2663.83,27.20,9795,2663.83,27.20
Bhagalpur,4065,2456.53,20.49,5004,2456.53,20.49,405,2456.53,20.49,9474,2456.53,20.49,2514,2456.53,20.49,11988,2456.53,20.49
Bhojpur,3815,1515.89,15.90,3848,1515.89,15.90,233,1515.89,15.90,7896,1515.89,15.90,1637,1515.89,15.90,9533,1515.89,15.90
Buxar,2275,795.28,13.72,2270,795.28,13.72,157,795.28,13.72,4702,795.28,13.72,1096,795.28,13.72,5798,795.28,13.72
Darbhanga,3692,2054.39,21.61,3640,2054.39,21.61,242,2054.39,21.61,7574,2054.39,21.61,1933,2054.39,21.61,9507,2054.39,21.61
Gaya,4602,3259.72,24.64,5529,3259.72,24.64,343,3259.72,24.64,10474,3259.72,24.64,2758,3259.72,24.64,13232,3259.72,24.64
Gopalganj,4406,1183.46,15.26,1794,1183.46,15.26,219,1183.46,15.26,6419,1183.46,15.26,1334,1183.46,15.26,7753,1183.46,15.26
Jamui,1525,586.11,15.67,1276,586.11,15.67,146,586.11,15.67,2947,586.11,15.67,793,586.11,15.67,3740,586.11,15.67
Jehanabad,1228,532.85,14.61,1546,532.85,14.61,77,532.85,14.61,2851,532.85,14.61,797,532.85,14.61,3648,532.85,14.61
Kaimur (Bhabua),2780,824.94,14.54,1781,824.94,14.54,135,824.94,14.54,4696,824.94,14.54,979,824.94,14.54,5675,824.94,14.54
Katihar,2382,1831.36,24.94,3048,1831.36,24.94,241,1831.36,24.94,5671,1831.36,24.94,1673,1831.36,24.94,7344,1831.36,24.94
Khagaria,1914,792.97,18.99,1349,792.97,18.99,139,792.97,18.99,3402,792.97,18.99,774,792.97,18.99,4176,792.97,18.99
Kishanganj,1329,829.19,20.96,1568,829.19,20.96,156,829.19,20.96,3053,829.19,20.96,904,829.19,20.96,3957,829.19,20.96
Lakhisarai,1334,412.00,12.93,1137,412.00,12.93,108,412.00,12.93,2579,412.00,12.93,607,412.00,12.93,3186,412.00,12.93
Madhepura,1538,786.96,19.01,1348,786.96,19.01,122,786.96,19.01,3008,786.96,19.01,1131,786.96,19.01,4139,786.96,19.01
Madhubani,3109,1444.20,16.61,3425,1444.20,16.61,260,1444.20,16.61,6794,1444.20,16.61,1902,1444.20,16.61,8696,1444.20,16.61
Munger,1613,611.31,13.10,1805,611.31,13.10,167,611.31,13.10,3585,611.31,13.10,1080,611.31,13.10,4665,611.31,13.10
Muzaffarpur,6045,4577.26,25.26,6029,4577.26,25.26,436,4577.26,25.26,12510,4577.26,25.26,5611,4577.26,25.26,18121,4577.26,25.26
Nalanda,3247,1704.87,20.93,3004,1704.87,20.93,233,1704.87,20.93,6484,1704.87,20.93,1660,1704.87,20.93,8144,1704.87,20.93
Nawada,1857,842.55,18.33,1576,842.55,18.33,169,842.55,18.33,3602,842.55,18.33,994,842.55,18.33,4596,842.55,18.33
Pashchim Champaran,2940,1834.31,22.33,3248,1834.31,22.33,250,1834.31,22.33,6438,1834.31,22.33,1776,1834.31,22.33,8214,1834.31,22.33
Patna,7415,23320.34,33.79,21429,23320.34,33.79,1092,23320.34,33.79,29936,23320.34,33.79,39077,23320.34,33.79,69013,23320.34,33.79
Purbi Champaran,4443,2752.21,23.70,4262,2752.21,23.70,351,2752.21,23.70,9056,2752.21,23.70,2559,2752.21,23.70,11615,2752.21,23.70
Purnia,2436,3105.86,34.70,4105,3105.86,34.70,286,3105.86,34.70,6827,3105.86,34.70,2123,3105.86,34.70,8950,3105.86,34.70
Rohtas,3229,1709.68,20.25,3215,1709.68,20.25,266,1709.68,20.25,6710,1709.68,20.25,1733,1709.68,20.25,8443,1709.68,20.25
Saharsa,1789,939.35,22.40,1357,939.35,22.40,102,939.35,22.40,3248,939.35,22.40,945,939.35,22.40,4193,939.35,22.40
Samastipur,4192,2383.66,22.07,4101,2383.66,22.07,325,2383.66,22.07,8618,2383.66,22.07,2183,2383.66,22.07,10801,2383.66,22.07
Saran,3795,1677.15,16.20,4124,1677.15,16.20,329,1677.15,16.20,8248,1677.15,16.20,2103,1677.15,16.20,10351,1677.15,16.20
Sheikhpura,729,281.35,13.57,835,281.35,13.57,70,281.35,13.57,1634,281.35,13.57,440,281.35,13.57,2074,281.35,13.57
Sheohar,582,199.08,12.91,587,199.08,12.91,39,199.08,12.91,1208,199.08,12.91,334,199.08,12.91,1542,199.08,12.91
Sitamarhi,2158,1181.35,20.08,2268,1181.35,20.08,162,1181.35,20.08,4588,1181.35,20.08,1296,1181.35,20.08,5884,1181.35,20.08
Siwan,3698,1870.53,19.52,3821,1870.53,19.52,293,1870.53,19.52,7812,1870.53,19.52,1771,1870.53,19.52,9583,1870.53,19.52
Supaul,1739,880.38,18.59,1744,880.38,18.59,124,880.38,18.59,3607,880.38,18.59,1128,880.38,18.59,4735,880.38,18.59
Vaishali,7209,2385.61,20.16,2234,2385.61,20.16,303,2385.61,20.16,9746,2385.61,20.16,2086,2385.61,20.16,11832,2385.61,20.16
