District,KCC - AH NEW TARGET NO.,AMT,Disbursed No.,% Achievement No.,KCC - AH RENEW TARGET NO.,TOTAL KCC - AH (NEW+RENEW) TARGET NO.
Araria,812,29,233,28.69,419,1231
Arwal,588,21,39,6.63,223,811
Aurangabad,840,30,281,33.45,697,1537
Banka,728,26,110,15.11,390,1118
Begusarai,1007,36,165,16.39,809,1816
Bhagalpur,1119,40,169,15.10,975,2094
Bhojpur,1034,37,334,32.30,891,1925
Buxar,728,26,205,28.16,530,1258
Darbhanga,1091,39,88,8.07,1060,2151
Gaya,1314,47,292,22.22,1143,2457
Gopalganj,895,32,133,14.86,669,1564
Jamui,644,23,71,11.02,474,1118
Jehanabad,728,26,57,7.83,335,1063
Kaimur (Bhabua),672,24,93,13.84,362,1034
Katihar,896,32,29,3.24,503,1399
Khagaria,728,26,241,33.10,557,1285
Kishanganj,644,23,48,7.45,279,923
Lakhisarai,616,22,61,9.90,335,951
Madhepura,672,24,64,9.52,363,1035
Madhubani,1035,37,111,10.72,1086,2121
Munger,728,26,167,22.94,502,1230
Muzaffarpur,1483,53,303,20.43,1644,3127
Nalanda,1007,36,277,27.51,1031,2038
Nawada,811,29,139,17.14,473,1284
Pashchim Champaran,867,31,105,12.11,808,1675
Patna,2100,75,224,10.67,3034,5134
Purbi Champaran,1147,41,110,9.59,1003,2150
Purnia,952,34,18,1.89,725,1677
Rohtas,978,35,230,23.52,892,1870
Saharsa,672,24,40,5.95,279,951
Samastipur,1119,40,606,54.16,1310,2429
Saran,1063,38,85,8.00,976,2039
Sheikhpura,588,21,133,22.62,223,811
Sheohar,560,20,87,15.54,112,672
Sitamarhi,811,29,190,23.43,558,1369
Siwan,1147,41,45,3.92,920,2067
Supaul,700,25,35,5.00,363,1063
Vaishali,1035,37,197,19.03,864,1899
