district,target,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,sanction_no,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_in_lakh,disburse_ment,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Araria,71,0,0.00,2,0.00,2.82,8,0.00,22,13.91,30.99,0,13.91,0,0.00,8,13.91
Arwal,63,0,0.00,0,0.00,0.00,4,0.00,12,4.72,19.05,0,4.72,0,0.00,3,4.72
Aurangabad,78,0,0.00,0,0.00,0.00,12,0.00,24,27.05,30.77,0,27.05,0,0.00,8,27.05
Banka,69,0,0.00,1,0.00,1.45,16,0.00,23,21.85,33.33,0,21.85,0,0.00,13,21.85
Begusarai,72,0,0.00,1,0.00,1.39,28,0.00,33,37.59,45.83,0,37.59,0,0.00,26,37.59
Bhagalpur,61,0,0.00,0,0.00,0.00,27,0.00,53,85.67,86.89,0,85.67,0,0.00,24,85.67
Bhojpur,72,0,0.00,0,0.00,0.00,28,0.00,23,73.40,31.94,0,73.40,0,0.00,26,73.40
Buxar,72,0,0.00,0,0.00,0.00,16,0.00,21,55.17,29.17,0,55.17,0,0.00,15,55.17
Darbhanga,74,0,0.00,0,0.00,0.00,19,0.00,48,59.51,64.86,0,59.51,0,0.00,17,59.51
Gaya,73,0,0.00,0,0.00,0.00,34,0.00,31,83.56,42.47,0,83.56,0,0.00,28,83.56
Gopalganj,76,0,0.00,0,0.00,0.00,6,0.00,30,16.20,39.47,0,16.20,0,0.00,5,16.20
Jamui,77,0,0.00,1,0.00,1.30,5,0.00,11,15.75,14.29,0,15.75,0,0.00,5,15.75
Jehanabad,66,0,0.00,0,0.00,0.00,7,0.00,16,15.20,24.24,0,15.20,0,0.00,6,15.20
Kaimur (Bhabua),70,0,0.00,1,0.00,1.43,13,0.00,21,51.36,30.00,0,51.36,0,0.00,13,51.36
Katihar,77,0,0.00,0,0.00,0.00,7,0.00,49,15.34,63.64,0,15.34,0,0.00,7,15.34
Khagaria,69,0,0.00,1,0.00,1.45,6,0.00,29,6.45,42.03,0,6.45,0,0.00,6,6.45
Kishanganj,71,0,0.00,0,0.00,0.00,3,0.00,21,14.00,29.58,0,14.00,0,0.00,3,14.00
Lakhisarai,70,0,0.00,0,0.00,0.00,12,0.00,13,40.72,18.57,0,40.72,0,0.00,11,40.72
Madhepura,70,0,0.00,0,0.00,0.00,5,0.00,15,6.88,21.43,0,6.88,0,0.00,3,6.88
Madhubani,79,0,0.00,0,0.00,0.00,20,0.00,51,43.87,64.56,0,43.87,0,0.00,18,43.87
Munger,64,0,0.00,0,0.00,0.00,9,0.00,31,13.84,48.44,0,13.84,0,0.00,7,13.84
Muzaffarpur,80,0,0.00,2,0.00,2.50,17,0.00,54,67.70,67.50,0,67.70,0,0.00,15,67.70
Nalanda,77,0,0.00,0,0.00,0.00,35,0.00,23,172.52,29.87,0,172.52,0,0.00,34,172.52
Nawada,67,0,0.00,0,0.00,0.00,6,0.00,30,22.75,44.78,0,22.75,0,0.00,5,22.75
Pashchim Champaran,71,0,0.00,0,0.00,0.00,6,0.00,62,17.02,87.32,0,17.02,0,0.00,5,17.02
Patna,110,0,0.00,0,0.00,0.00,31,0.00,51,93.02,46.36,0,93.02,0,0.00,29,93.02
Purbi Champaran,73,0,0.00,1,0.00,1.37,23,0.00,52,81.30,71.23,0,81.30,0,0.00,20,81.30
Purnia,71,0,0.00,1,0.00,1.41,14,0.00,49,45.23,69.01,0,45.23,0,0.00,13,45.23
Rohtas,69,0,0.00,1,0.00,1.45,20,0.00,34,59.48,49.28,0,59.48,0,0.00,20,59.48
Saharsa,69,0,0.00,0,0.00,0.00,10,0.00,10,22.73,14.49,0,22.73,0,0.00,9,22.73
Samastipur,69,0,0.00,1,0.00,1.45,17,0.00,39,32.92,56.52,0,32.92,0,0.00,16,32.92
Saran,74,0,0.00,0,0.00,0.00,9,0.00,45,25.22,60.81,0,25.22,0,0.00,8,25.22
Sheikhpura,76,0,0.00,1,0.00,1.32,0,0.00,12,0.00,15.79,0,0.00,0,0.00,0,0.00
Sheohar,72,0,0.00,0,0.00,0.00,5,0.00,12,14.53,16.67,0,14.53,0,0.00,5,14.53
Sitamarhi,68,0,0.00,1,0.00,1.47,11,0.00,41,28.36,60.29,0,28.36,0,0.00,7,28.36
Siwan,78,0,0.00,0,0.00,0.00,11,0.00,54,28.26,69.23,0,28.26,0,0.00,10,28.26
Supaul,68,0,0.00,0,0.00,0.00,8,0.00,28,14.08,41.18,0,14.08,0,0.00,6,14.08
Vaishali,72,0,0.00,0,0.00,0.00,17,0.00,35,70.73,48.61,0,70.73,0,0.00,14,70.73
