district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,96813,1089.72,108652,560.13,71835,385.62,62,24.81,7230,249.33,212757,1923.99
Arwal,26339,309.34,11899,91.60,5464,31.34,750,14.86,592,34.98,39580,450.78
Aurangabad,102243,1043.44,76184,497.74,36580,174.34,1236,25.07,2843,404.64,182506,1970.89
Banka,82259,702.95,58919,267.22,46721,193.16,206,7.60,3683,240.66,145067,1218.43
Begusarai,174015,1631.56,165080,855.12,113073,480.35,286,59.29,5447,387.89,344828,2933.86
Bhagalpur,105430,1019.42,108158,629.77,54353,285.99,239,23.23,5307,279.10,219134,1951.52
Bhojpur,92566,845.29,204874,798.76,154355,485.57,2360,32.11,2818,288.01,302618,1964.17
Buxar,81205,760.75,54799,305.95,29484,126.81,4027,19.44,2281,242.80,142312,1328.94
Darbhanga,70329,763.20,221990,1017.33,184343,810.19,103,8.15,6905,358.46,299327,2147.14
Gaya,135538,1485.56,510669,1952.82,268879,930.76,2425,27.02,8417,564.46,657049,4029.86
Gopalganj,129389,1468.08,110048,547.34,99277,567.87,12,0.33,5104,165.49,244553,2181.24
Jamui,101291,849.78,32827,183.82,23117,107.40,332,6.14,2526,223.32,136976,1263.06
Jehanabad,35814,439.87,18995,216.19,6467,53.83,734,14.44,1321,87.60,56864,758.09
Kaimur (Bhabua),74939,858.88,37937,253.69,22129,92.12,1613,14.75,2301,385.57,116790,1512.89
Katihar,95850,1223.85,168998,925.76,153684,1028.28,97,34.92,8143,409.78,273088,2594.30
Khagaria,107245,876.66,61899,371.91,49702,235.53,136,26.61,3090,179.76,172370,1454.95
Kishanganj,69790,784.70,70919,427.34,50297,347.17,25,39.86,4929,169.21,145663,1421.11
Lakhisarai,54482,493.91,25372,162.38,18761,84.35,251,6.15,1499,128.30,81604,790.74
Madhepura,46301,617.62,133434,540.15,112482,395.03,76,8.23,8405,370.36,188216,1536.36
Madhubani,113342,1164.74,180207,934.21,89040,417.77,89,13.49,8880,332.14,302518,2444.59
Munger,55586,451.07,29754,159.90,23891,111.05,359,7.72,1361,128.16,87060,746.85
Muzaffarpur,195956,1988.22,342190,1641.60,227996,1019.07,364,43.44,12875,812.26,551385,4485.52
Nalanda,116211,1141.86,62580,543.28,39431,230.31,2610,37.67,2693,242.33,184094,1965.13
Nawada,106204,952.65,44816,377.33,25074,119.29,1097,17.02,2229,307.28,154346,1654.27
Pashchim Champaran,146914,1496.71,154228,983.37,103769,555.39,61,14.34,4857,285.98,306060,2780.40
Patna,110437,1659.23,1520497,4928.36,1133336,3349.36,1107,141.58,26955,5977.79,1658996,12706.95
Purbi Champaran,243252,2298.92,174771,1051.45,121120,808.07,33,18.84,18179,949.63,436235,4318.84
Purnia,121722,1299.25,127347,790.67,88296,506.20,359,113.07,11717,650.46,261145,2853.45
Rohtas,124310,1331.06,62148,389.62,36824,160.24,2708,46.17,3915,503.29,193081,2270.15
Saharsa,55423,629.92,67413,409.12,41345,190.53,29,5.43,7251,349.08,130116,1393.55
Samastipur,212833,1994.74,165530,923.08,102509,558.67,696,80.54,8724,446.07,387783,3444.43
Saran,96196,1236.61,195572,868.50,160738,710.15,36,3.93,12769,501.53,304573,2610.57
Sheikhpura,35810,349.88,14434,103.66,10951,77.17,233,2.74,516,63.80,50993,520.08
Sheohar,23629,222.32,19944,210.15,10799,130.07,5,0.75,1877,69.80,45455,503.02
Sitamarhi,92706,939.39,89243,731.41,47641,465.95,120,12.40,7415,253.80,189484,1937.00
Siwan,88676,1162.26,554616,1885.00,437958,1558.62,248,15.56,10186,463.38,653726,3526.19
Supaul,77787,809.20,48401,374.15,37440,254.40,31,2.65,9386,285.64,135605,1471.65
Vaishali,131843,1597.50,1212953,3401.84,939667,2726.02,104,20.22,10791,465.45,1355691,5485.00
