District,"MSME Micro Enterprises (Manufacturing +
Service) (including Khadi & Village
Industries) A/c",Amt,"Small Enterprises (Manufacturing +
Service)s A/c",Amt,"Medium Enterprises
(Manufacturing + Service) A/c",Amt,"Other finance to MSMEs (As
indicated in Master Direction on
PSL) A/c",Amt,Total MSMEs (PS) A/c,Amt
Araria,39311,992.50,627,379.13,56,56.77,8,4.21,40002,1432.61
Arwal,7295,189.43,163,46.87,87,0.88,1,0.10,7546,237.27
Aurangabad,23645,879.11,510,272.82,210,21.61,13,0.83,24378,1174.37
Banka,20982,460.17,231,110.27,5,7.45,11,3.46,21229,581.35
Begusarai,50129,1742.43,1478,760.68,167,364.16,9,0.41,51783,2867.69
Bhagalpur,64852,2073.51,972,615.93,263,178.46,22,1.52,66109,2869.42
Bhojpur,29937,892.24,569,288.02,31,14.12,3,0.18,30540,1194.55
Buxar,21780,575.17,621,148.80,35,3.90,8,0.94,22444,728.81
Darbhanga,66013,1520.41,836,414.03,66,90.86,16,1.71,66931,2027.01
Gaya,58632,2267.76,1410,669.09,153,164.12,8,1.00,60203,3101.97
Gopalganj,32900,781.95,351,206.22,238,78.38,23,0.37,33512,1066.92
Jamui,21672,397.11,199,83.14,15,9.40,16,1.83,21902,491.49
Jehanabad,17270,412.79,264,56.02,57,8.44,1,0.00,17592,477.25
Kaimur (Bhabua),15912,420.90,302,102.42,15,12.52,9,0.37,16238,536.21
Katihar,35422,1032.15,694,358.65,73,77.36,10,1.64,36199,1469.79
Khagaria,19785,441.34,274,141.43,3,1.36,8,0.48,20070,584.61
Kishanganj,26587,495.48,234,114.04,18,99.18,3,0.18,26842,708.89
Lakhisarai,11643,292.47,209,39.96,3,0.16,2,0.02,11857,332.61
Madhepura,27571,538.44,251,123.55,29,16.18,7,0.10,27858,678.27
Madhubani,50797,1142.49,627,191.45,26,16.02,29,0.71,51479,1350.67
Munger,24573,513.92,460,65.17,42,5.77,12,0.14,25087,585.00
Muzaffarpur,109927,3463.64,1912,1236.02,138,181.51,45,7.16,112022,4888.33
Nalanda,46299,1206.37,1012,308.60,85,26.15,32,1.29,47428,1542.40
Nawada,22327,609.89,927,150.82,78,47.52,12,1.26,23344,809.50
Pashchim Champaran,67993,1137.79,705,368.54,36,77.62,13,0.65,68747,1584.59
Patna,152478,9853.28,7650,6088.23,1816,3504.22,124,61.07,162068,19506.80
Purbi Champaran,56852,1798.73,833,558.32,102,39.97,32,4.60,57819,2401.62
Purnia,67201,2034.61,1002,806.62,76,357.93,25,1.11,68304,3200.26
Rohtas,38460,1374.29,717,291.82,127,76.98,20,4.05,39324,1747.15
Saharsa,33884,609.84,361,280.00,22,10.81,4,3.05,34271,903.69
Samastipur,50250,1663.53,1017,464.85,66,40.82,45,1.18,51378,2170.38
Saran,61912,1341.39,613,235.84,49,41.27,43,2.23,62617,1620.73
Sheikhpura,8827,264.95,203,55.81,7,1.58,17,0.98,9054,323.33
Sheohar,7754,162.34,58,18.47,6,2.11,0,0.00,7818,182.92
Sitamarhi,36816,981.82,411,188.09,36,22.25,10,1.78,37273,1193.94
Siwan,66429,1363.25,565,207.97,80,53.83,27,3.28,67101,1628.33
Supaul,29848,571.79,376,129.62,18,2.87,3,0.10,30245,704.38
Vaishali,58774,1463.65,614,308.01,50,74.75,35,2.76,59473,1849.18
