district,msme_micro_enterprises_manufacturing_service_including_khadi,amt,small_enterprises_manufacturing_service_s_a_c,amt,medium_enterprises_manufacturing_service_a_c,amt,other_finance_to_msmes_as_indicated_in_master_direction_on_p,amt,total_msmes_ps_a_c,amt
Araria,39311,1432.61,627,1432.61,56,1432.61,8,1432.61,40002,1432.61
Arwal,7295,237.27,163,237.27,87,237.27,1,237.27,7546,237.27
Aurangabad,23645,1174.37,510,1174.37,210,1174.37,13,1174.37,24378,1174.37
Banka,20982,581.35,231,581.35,5,581.35,11,581.35,21229,581.35
Begusarai,50129,2867.69,1478,2867.69,167,2867.69,9,2867.69,51783,2867.69
Bhagalpur,64852,2869.42,972,2869.42,263,2869.42,22,2869.42,66109,2869.42
Bhojpur,29937,1194.55,569,1194.55,31,1194.55,3,1194.55,30540,1194.55
Buxar,21780,728.81,621,728.81,35,728.81,8,728.81,22444,728.81
Darbhanga,66013,2027.01,836,2027.01,66,2027.01,16,2027.01,66931,2027.01
Gaya,58632,3101.97,1410,3101.97,153,3101.97,8,3101.97,60203,3101.97
Gopalganj,32900,1066.92,351,1066.92,238,1066.92,23,1066.92,33512,1066.92
Jamui,21672,491.49,199,491.49,15,491.49,16,491.49,21902,491.49
Jehanabad,17270,477.25,264,477.25,57,477.25,1,477.25,17592,477.25
Kaimur (Bhabua),15912,536.21,302,536.21,15,536.21,9,536.21,16238,536.21
Katihar,35422,1469.79,694,1469.79,73,1469.79,10,1469.79,36199,1469.79
Khagaria,19785,584.61,274,584.61,3,584.61,8,584.61,20070,584.61
Kishanganj,26587,708.89,234,708.89,18,708.89,3,708.89,26842,708.89
Lakhisarai,11643,332.61,209,332.61,3,332.61,2,332.61,11857,332.61
Madhepura,27571,678.27,251,678.27,29,678.27,7,678.27,27858,678.27
Madhubani,50797,1350.67,627,1350.67,26,1350.67,29,1350.67,51479,1350.67
Munger,24573,585.00,460,585.00,42,585.00,12,585.00,25087,585.00
Muzaffarpur,109927,4888.33,1912,4888.33,138,4888.33,45,4888.33,112022,4888.33
Nalanda,46299,1542.40,1012,1542.40,85,1542.40,32,1542.40,47428,1542.40
Nawada,22327,809.50,927,809.50,78,809.50,12,809.50,23344,809.50
Pashchim Champaran,67993,1584.59,705,1584.59,36,1584.59,13,1584.59,68747,1584.59
Patna,152478,19506.80,7650,19506.80,1816,19506.80,124,19506.80,162068,19506.80
Purbi Champaran,56852,2401.62,833,2401.62,102,2401.62,32,2401.62,57819,2401.62
Purnia,67201,3200.26,1002,3200.26,76,3200.26,25,3200.26,68304,3200.26
Rohtas,38460,1747.15,717,1747.15,127,1747.15,20,1747.15,39324,1747.15
Saharsa,33884,903.69,361,903.69,22,903.69,4,903.69,34271,903.69
Samastipur,50250,2170.38,1017,2170.38,66,2170.38,45,2170.38,51378,2170.38
Saran,61912,1620.73,613,1620.73,49,1620.73,43,1620.73,62617,1620.73
Sheikhpura,8827,323.33,203,323.33,7,323.33,17,323.33,9054,323.33
Sheohar,7754,182.92,58,182.92,6,182.92,0,182.92,7818,182.92
Sitamarhi,36816,1193.94,411,1193.94,36,1193.94,10,1193.94,37273,1193.94
Siwan,66429,1628.33,565,1628.33,80,1628.33,27,1628.33,67101,1628.33
Supaul,29848,704.38,376,704.38,18,704.38,3,704.38,30245,704.38
Vaishali,58774,1849.18,614,1849.18,50,1849.18,35,1849.18,59473,1849.18
