district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,59123,18.13,11027,18.13,18.65,18.13
Arwal,20160,53.07,9924,53.07,49.23,53.07
Aurangabad,118379,10.41,26959,10.41,22.77,10.41
Banka,46232,13.14,10158,13.14,21.97,13.14
Begusarai,88159,16.46,24375,16.46,27.65,16.46
Bhagalpur,106013,8.35,14939,8.35,14.09,8.35
Bhojpur,101642,10.68,26882,10.68,26.45,10.68
Buxar,59419,11.98,14103,11.98,23.73,11.98
Darbhanga,97125,10.22,13319,10.22,13.71,10.22
Gaya,119124,18.40,37504,18.40,31.48,18.40
Gopalganj,116011,10.39,14013,10.39,12.08,10.39
Jamui,39638,12.56,18904,12.56,47.69,12.56
Jehanabad,30974,28.37,10682,28.37,34.49,28.37
Kaimur (Bhabua),72529,17.99,16715,17.99,23.05,17.99
Katihar,62160,29.36,11676,29.36,18.78,29.36
Khagaria,49937,10.76,14863,10.76,29.76,10.76
Kishanganj,34381,20.57,6917,20.57,20.12,20.57
Lakhisarai,34750,9.67,10366,9.67,29.83,9.67
Madhepura,40009,18.56,8023,18.56,20.05,18.56
Madhubani,82308,13.91,16300,13.91,19.80,13.91
Munger,42454,8.11,8625,8.11,20.32,8.11
Muzaffarpur,159051,12.02,22953,12.02,14.43,12.02
Nalanda,76903,15.99,37929,15.99,49.32,15.99
Nawada,47494,15.49,30183,15.49,63.55,15.49
Pashchim Champaran,77343,17.53,20169,17.53,26.08,17.53
Patna,195795,6.85,22280,6.85,11.38,6.85
Purbi Champaran,116902,16.92,30475,16.92,26.07,16.92
Purnia,64307,22.93,16869,22.93,26.23,22.93
Rohtas,85195,17.28,25050,17.28,29.40,17.28
Saharsa,46010,12.16,6739,12.16,14.65,12.16
Samastipur,112677,17.81,38480,17.81,34.15,17.81
Saran,98382,11.52,12035,11.52,12.23,11.52
Sheikhpura,18972,13.27,5605,13.27,29.54,13.27
Sheohar,14900,18.57,3351,18.57,22.49,18.57
Sitamarhi,56531,16.21,10511,16.21,18.59,16.21
Siwan,95567,12.92,11277,12.92,11.80,12.92
Supaul,43863,18.72,9386,18.72,21.40,18.72
Vaishali,268901,5.25,14863,5.25,5.53,5.25
