district,lead_bank,date_of_establishment_of_rseti,land_allotted_by_state_govt_yes_no,mou_for_land_executed_with_the_district_administra_tion_yes,grant_received_from_nird_yes_no,map_approved_by_local_authority_yes_no,constructio_n_started_yes_no,constructio_n_and_shifting_completed_yes_no,details_of_training_programme_organised_during_financial_yea,no_of_training_programm_es_organised,no_of_persons_trained,since_inception_no_of_training_programm_es_organised,no_of_persons_trained,as_on_30_06_2025_no_of_trainees_settled,no_of_trainees_settled_with_bank_finance,as_on_june_2025_name_of_the_agency_viz_drda_kvic_nabard_etc,amt_of_reimbursement_claim_pending_amt_in_lacs
Araria,STATE BANK OF INDIA,19/02/2010,YES,YES,YES,YES,YES,YES,0,35,8273,285,8273,6628,3756,SRLM,29
Arwal,PUNJAB NATIONAL BANK,12/12/2011,YES,YES,YES,YES,YES,YES,125,35,11585,402,11585,9615,3674,SRLM,91
Aurangabad,PUNJAB NATIONAL BANK,29/02/2012,YES,YES,YES,YES,YES,YES,0,36,10587,360,10587,7907,3641,SRLM,35
Banka,UCO BANK,30/06/2011,YES,YES,YES,YES,YES,YES,0,4,7981,269,7981,5723,2549,SRLM,46
Begusarai,UCO BANK,29/07/2011,YES,YES,YES,YES,YES,YES,0,8,9788,334,9788,7811,3864,SRLM,146
Bhagalpur,UCO BANK,14/03/2011,YES,YES,YES,YES,YES,YES,0,8,8441,275,8441,5220,2079,SRLM,24
Bhojpur,PUNJAB NATIONAL BANK,28/03/2012,YES,YES,YES,YES,YES,YES,45,7,8880,292,8880,6328,2474,SRLM,72
Buxar,PUNJAB NATIONAL BANK,26/12/2012,YES,YES,YES,YES,YES,YES,0,34,8241,302,8241,5623,2296,SRLM,19
Darbhanga,CENTRAL BANK OF INDIA,27/11/2010,YES,YES,YES,YES,YES,YES,8,4,8842,793,8842,6191,2551,SRLM,67
Gaya,PUNJAB NATIONAL BANK,24/03/2010,YES,YES,YES,YES,YES,YES,399,44,14202,500,14202,9615,4432,SRLM,0
Gopalganj,CENTRAL BANK OF INDIA,10/02/2011,YES,YES,YES,YES,YES,YES,10,4,6927,622,6927,4821,1954,SRLM,36
Jamui,STATE BANK OF INDIA,26/03/2011,YES,YES,YES,YES,YES,YES,0,38,8209,294,8209,6417,3861,SRLM,61
Jehanabad,PUNJAB NATIONAL BANK,30/09/2011,YES,YES,YES,YES,YES,YES,55,38,10580,365,10580,7490,5487,SRLM,0
Kaimur (Bhabua),PUNJAB NATIONAL BANK,29/12/2011,YES,YES,YES,YES,YES,YES,0,39,9515,343,9515,6691,2192,SRLM,119
Katihar,CENTRAL BANK OF INDIA,01/10/2011,YES,YES,YES,YES,YES,YES,12,0,7742,811,7742,447,276,SRLM,54
Khagaria,UNION BANK OF INDIA,23/03/2009,YES,YES,YES,YES,YES,NO,53,7,9363,305,9363,6244,2292,SRLM,28
Kishanganj,STATE BANK OF INDIA,19/03/2010,YES,YES,YES,YES,YES,YES,34,34,9680,324,9680,7433,4328,SRLM,63
Lakhisarai,PUNJAB NATIONAL BANK,28/09/2010,YES,YES,YES,YES,YES,NO,0,9,9279,341,9279,6225,2188,,0
Madhepura,STATE BANK OF INDIA,27/03/2009,YES,YES,YES,YES,YES,YES,50,38,8576,310,8576,6112,3528,SRLM,80
Madhubani,CENTRAL BANK OF INDIA,29/01/2011,YES,YES,YES,YES,YES,YES,5,4,8249,791,8249,586,262,SRLM,51
Munger,UCO BANK,01/02/2011,YES,YES,YES,YES,YES,NO,0,4,8142,252,8142,4208,2521,SRLM,42
Muzaffarpur,CENTRAL BANK OF INDIA,19/02/2007,YES,YES,YES,YES,YES,YES,75,7,9879,640,9879,7968,3688,SRLM,56
Nalanda,PUNJAB NATIONAL BANK,15/02/2010,YES,YES,YES,YES,YES,YES,10,35,11548,397,11548,7792,3601,,19
Nawada,PUNJAB NATIONAL BANK,28/03/2010,YES,YES,YES,YES,YES,NO,1050,32,10404,375,10404,8226,4019,SRLM,83
Pashchim Champaran,CENTRAL BANK OF INDIA,27/01/2011,YES,YES,YES,YES,YES,YES,20,4,8705,630,8705,308,166,SRLM,26
Patna,PUNJAB NATIONAL BANK,15/01/2007,NO,NO,YES,NO,NO,NO,12,8,10852,396,10852,7854,2981,SRLM,42
Purbi Champaran,CENTRAL BANK OF INDIA,19/12/2011,YES,YES,YES,YES,YES,YES,21,0,8880,680,8880,6312,3191,SRLM,49
Purnia,STATE BANK OF INDIA,30/03/2007,YES,YES,YES,YES,YES,YES,0,34,9331,326,9331,7317,4168,SRLM,91
Rohtas,PUNJAB NATIONAL BANK,27/01/2012,YES,YES,YES,YES,YES,YES,0,34,9422,306,9422,966,4521,SRLM,76
Saharsa,STATE BANK OF INDIA,27/03/2009,YES,YES,YES,YES,YES,YES,0,38,8868,323,8868,6573,3834,SRLM,52
Samastipur,UNION BANK OF INDIA,31/03/2009,YES,YES,YES,YES,YES,YES,3,5,8951,298,8951,6529,2762,SRLM,78
Saran,CENTRAL BANK OF INDIA,08/02/2011,YES,YES,YES,YES,YES,YES,14,5,6591,541,6591,4184,1754,SRLM,58
Sheikhpura,CANARA BANK,19/01/2010,YES,YES,YES,YES,YES,YES,63,38,12554,405,12554,3387,790,SRLMKVIC,11
Sheohar,BANK OF BARODA,31/03/2010,YES,YES,YES,YES,YES,YES,287,9,12966,431,12966,10078,4830,SRLM,143
Sitamarhi,BANK OF BARODA,28/03/2012,YES,YES,YES,YES,YES,NO,187,8,9129,316,9129,6076,3414,SRLM,82
Siwan,CENTRAL BANK OF INDIA,15/03/2011,YES,YES,YES,YES,YES,YES,15,2,6524,622,6524,5445,2933,SRLM,27
Supaul,STATE BANK OF INDIA,25/03/2009,YES,YES,YES,YES,YES,YES,0,28,8781,302,8781,7237,4649,SRLM,35
Vaishali,CANARA BANK,30/01/2008,YES,YES,YES,YES,YES,YES,115,43,15478,524,15478,10655,4355,SRLMKVIC,2
