district,target_no,amt,achie_no,amt,achie_no,amt,outstanding_no,amt,npa_no,amt,npa_no,amt
Araria,410,1.98,23.90,1.98,23.90,1.98,1428,1.98,9.59,1.98,9.59,1.98
Arwal,190,2.37,14.21,2.37,14.21,2.37,251,2.37,5.18,2.37,5.18,2.37
Aurangabad,520,1.07,33.85,1.07,33.85,1.07,1928,1.07,3.16,1.07,3.16,1.07
Banka,480,1.47,15.63,1.47,15.63,1.47,833,1.47,3.60,1.47,3.60,1.47
Begusarai,840,1.26,41.31,1.26,41.31,1.26,3110,1.26,4.66,1.26,4.66,1.26
Bhagalpur,900,0.78,41.89,0.78,41.89,0.78,4610,0.78,1.91,0.78,1.91,0.78
Bhojpur,690,1.22,50.43,1.22,50.43,1.22,3167,1.22,2.84,1.22,2.84,1.22
Buxar,460,1.27,26.52,1.27,26.52,1.27,1637,1.27,2.75,1.27,2.75,1.27
Darbhanga,790,0.89,34.43,0.89,34.43,0.89,3782,0.89,2.01,0.89,2.01,0.89
Gaya,1020,1.66,35.88,1.66,35.88,1.66,5524,1.66,3.24,1.66,3.24,1.66
Gopalganj,510,2.36,28.24,2.36,28.24,2.36,2134,2.36,35.90,2.36,35.90,2.36
Jamui,360,0.97,14.17,0.97,14.17,0.97,563,0.97,5.68,0.97,5.68,0.97
Jehanabad,250,0.71,48.80,0.71,48.80,0.71,1043,0.71,1.73,0.71,1.73,0.71
Kaimur (Bhabua),380,1.76,29.21,1.76,29.21,1.76,897,1.76,3.12,1.76,3.12,1.76
Katihar,600,1.39,31.33,1.39,31.33,1.39,2411,1.39,4.40,1.39,4.40,1.39
Khagaria,310,1.75,13.55,1.75,13.55,1.75,592,1.75,2.70,1.75,2.70,1.75
Kishanganj,350,4.89,20.57,4.89,20.57,4.89,1307,4.89,25.33,4.89,25.33,4.89
Lakhisarai,290,1.79,18.28,1.79,18.28,1.79,490,1.79,3.47,1.79,3.47,1.79
Madhepura,360,3.15,16.94,3.15,16.94,3.15,831,3.15,16.49,3.15,16.49,3.15
Madhubani,810,0.84,32.59,0.84,32.59,0.84,2412,0.84,2.65,0.84,2.65,0.84
Munger,450,1.92,22.22,1.92,22.22,1.92,1298,1.92,3.78,1.92,3.78,1.92
Muzaffarpur,1270,1.19,37.95,1.19,37.95,1.19,8256,1.19,2.02,1.19,2.02,1.19
Nalanda,700,1.72,29.71,1.72,29.71,1.72,2271,1.72,3.04,1.72,3.04,1.72
Nawada,450,1.21,37.56,1.21,37.56,1.21,1931,1.21,3.16,1.21,3.16,1.21
Pashchim Champaran,620,0.87,34.35,0.87,34.35,0.87,2034,0.87,1.67,0.87,1.67,0.87
Patna,4100,0.83,51.27,0.83,51.27,0.83,34618,0.83,1.44,0.83,1.44,0.83
Purbi Champaran,840,0.91,33.93,0.91,33.93,0.91,2805,0.91,2.10,0.91,2.10,0.91
Purnia,700,2.39,49.29,2.39,49.29,2.39,4999,2.39,12.24,2.39,12.24,2.39
Rohtas,670,2.75,30.00,2.75,30.00,2.75,2858,2.75,5.32,2.75,5.32,2.75
Saharsa,310,1.61,17.42,1.61,17.42,1.61,1056,1.61,7.01,1.61,7.01,1.61
Samastipur,830,0.94,41.45,0.94,41.45,0.94,3309,0.94,1.93,0.94,1.93,0.94
Saran,710,0.98,24.93,0.98,24.93,0.98,2320,0.98,3.62,0.98,3.62,0.98
Sheikhpura,200,0.44,13.50,0.44,13.50,0.44,470,0.44,2.55,0.44,2.55,0.44
Sheohar,130,2.06,24.62,2.06,24.62,2.06,377,2.06,16.98,2.06,16.98,2.06
Sitamarhi,500,1.02,26.00,1.02,26.00,1.02,1761,1.02,3.41,1.02,3.41,1.02
Siwan,710,1.45,23.66,1.45,23.66,1.45,2116,1.45,2.55,1.45,2.55,1.45
Supaul,390,2.07,16.15,2.07,16.15,2.07,980,2.07,12.65,2.07,12.65,2.07
Vaishali,800,1.97,33.00,1.97,33.00,1.97,3396,1.97,10.39,1.97,10.39,1.97
