district,application_sourced_no,amount,sanctioned_no,amount,disbursed_no,amount,rejected_no,amount,pending_no,amount
Araria,91,11,28,11,15,11,56,11,6,11
Arwal,89,6,47,6,34,6,39,6,3,6
Aurangabad,155,11,72,11,41,11,78,11,5,11
Banka,152,26,51,26,31,26,93,26,8,26
Begusarai,344,69,140,69,124,69,170,69,32,69
Bhagalpur,670,64,320,64,256,64,315,64,33,64
Bhojpur,311,25,147,25,116,25,152,25,12,25
Buxar,121,18,57,18,36,18,54,18,9,18
Darbhanga,252,34,106,34,69,34,129,34,13,34
Gaya,684,87,305,87,240,87,339,87,37,87
Gopalganj,89,10,24,10,15,10,61,10,4,10
Jamui,124,11,38,11,26,11,81,11,5,11
Jehanabad,68,10,28,10,26,10,35,10,5,10
Katihar,144,14,47,14,16,14,90,14,7,14
Khagaria,103,5,29,5,24,5,70,5,3,5
Kishanganj,73,2,32,2,17,2,40,2,1,2
Lakhisarai,71,13,29,13,20,13,36,13,6,13
Madhepura,93,10,31,10,25,10,58,10,4,10
Madhubani,191,3,86,3,39,3,104,3,1,3
Munger,154,27,80,27,64,27,59,27,14,27
Muzaffarpur,959,66,380,66,314,66,538,66,34,66
Nalanda,581,38,300,38,251,38,261,38,16,38
Nawada,264,15,110,15,69,15,147,15,7,15
Pashchim Champaran,437,12,109,12,82,12,321,12,5,12
Patna,3484,383,1940,383,1753,383,1346,383,173,383
Purbi Champaran,583,17,192,17,127,17,380,17,7,17
Purnia,244,27,116,27,78,27,117,27,11,27
Rohtas,339,43,135,43,92,43,184,43,20,43
Saharsa,139,7,60,7,46,7,74,7,4,7
Samastipur,711,137,263,137,184,137,374,137,69,137
Saran,425,35,131,35,84,35,277,35,16,35
Sheikhpura,78,0,36,0,21,0,42,0,0,0
Sheohar,104,5,33,5,23,5,65,5,3,5
Sitamarhi,713,30,228,30,184,30,471,30,10,30
Siwan,149,5,62,5,39,5,83,5,3,5
Supaul,229,23,71,23,54,23,148,23,9,23
Vaishali,802,113,267,113,212,113,478,113,51,113
