District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,26,0.63,9019,152.06,8,0.08,4,0.26,0,0.00,25,19.15,9082,172.18
Arwal,6,0.08,621,4.89,1,0.02,4,0.13,0,0.00,3,0.02,635,5.14
Aurangabad,10,0.07,2090,27.01,4,0.05,4,0.26,0,0.00,15,0.05,2123,27.44
Banka,8,0.19,1224,15.82,1,0.05,1,0.00,1,0.06,2,0.01,1237,16.13
Begusarai,12,0.36,4626,57.94,88,1.28,5,0.35,0,0.00,9,0.21,4740,60.14
Bhagalpur,83,0.87,6283,82.95,25,0.37,10,0.55,1,0.12,17,7.05,6419,91.91
Bhojpur,41,0.44,4531,34.47,23,0.26,10,2.10,0,0.00,19,10.36,4624,47.63
Buxar,6,0.04,1271,12.06,4,0.05,3,0.35,0,0.00,4,0.04,1288,12.54
Darbhanga,36,0.48,5081,81.49,39,0.90,12,0.65,0,0.00,10,1.20,5178,84.72
Gaya,495,2.89,11642,110.13,4247,17.83,454,2.31,52,0.14,35,10.76,16925,144.06
Gopalganj,19,0.79,2958,49.36,11,0.08,5,0.11,0,0.00,4,0.01,2997,50.35
Jamui,18,0.21,1683,16.91,5,0.05,3,0.02,0,0.00,5,0.08,1714,17.27
Jehanabad,2,0.06,841,13.30,1,0.02,2,0.07,0,0.00,3,0.06,849,13.51
Kaimur (Bhabua),2,0.02,1625,18.29,4,0.05,4,0.07,0,0.00,3,0.16,1638,18.59
Katihar,184,1.28,11629,152.36,6,0.08,28,0.43,0,0.00,10,0.08,11857,154.23
Khagaria,6,0.48,1095,14.22,3,0.02,1,0.00,0,0.00,2,0.04,1107,14.76
Kishanganj,133,1.44,15549,185.36,3,0.03,9,0.97,0,0.00,15,2.01,15709,189.81
Lakhisarai,3,0.21,576,2.67,1,0.01,2,0.04,1,0.01,0,0.00,583,2.94
Madhepura,19,0.12,3649,30.83,3,0.00,3,0.07,0,0.00,7,0.07,3681,31.09
Madhubani,23,0.51,4086,49.72,7,0.72,11,1.25,0,0.00,9,0.60,4136,52.80
Munger,7,0.13,975,22.38,1,0.01,9,0.97,0,0.00,2,0.02,994,23.51
Muzaffarpur,51,1.19,8947,114.46,138,2.77,26,0.55,1,2.32,13,0.27,9176,121.56
Nalanda,49,0.56,1805,25.17,11,0.30,4,0.15,0,0.00,7,0.20,1876,26.38
Nawada,118,0.37,2397,24.37,5,0.19,3,0.02,0,0.00,5,0.04,2528,24.99
Pashchim Champaran,51,1.46,4886,76.92,14,0.57,30,2.59,1,0.00,13,0.53,4995,82.07
Patna,189,6.22,32708,307.37,405,7.18,85,8.44,4,0.03,37,6.12,33428,335.36
Purbi Champaran,54,1.83,6681,110.20,244,47.63,19,0.31,3,3.35,16,0.98,7017,164.30
Purnia,87,1.27,14775,214.73,20,0.35,12,2.03,1,0.01,16,30.55,14911,248.94
Rohtas,92,0.54,2395,31.61,4,0.03,28,2.17,1,0.01,2,0.03,2522,34.39
Saharsa,12,0.09,2454,36.78,5,0.01,7,0.81,0,0.00,4,0.20,2482,37.89
Samastipur,23,0.32,3999,58.09,12,0.23,19,0.35,0,0.00,9,0.19,4062,59.18
Saran,27,0.89,2977,44.48,11,0.18,11,0.32,0,0.00,11,0.88,3037,46.75
Sheikhpura,17,0.09,299,3.02,3,0.02,1,0.01,0,0.00,2,0.06,322,3.20
Sheohar,1,0.01,618,7.97,3,0.16,2,0.02,0,0.00,3,0.04,627,8.20
Sitamarhi,10,0.07,2896,44.05,5,0.07,32,0.72,0,0.00,4,0.01,2947,44.92
Siwan,94,0.58,15240,120.18,42,0.32,8,3.90,1,0.01,16,0.23,15401,125.22
Supaul,13,0.11,2060,27.57,7,0.05,12,0.39,0,0.00,6,0.18,2098,28.30
Vaishali,65,0.44,33393,162.22,21,0.43,12,0.10,1,0.00,4,0.22,33496,163.41
