District,"Loans to weaker sections under
Priority Sector No.",Amt.,"Out of Loans to weaker Sections
in PSL, loans to individual
women beneficiaries up to ₹1
lakh No.",Amt.,"Out of Agriculture, loans to
Small & Marginal Farmers No.",Amt.
Araria,32106,362.83,9691,59.17,15674,129.83
Arwal,11523,48.61,2560,9.41,10246,54.82
Aurangabad,36931,191.37,10142,43.91,28558,165.38
Banka,19158,152.14,5704,29.31,12569,70.31
Begusarai,40759,338.48,11947,72.77,26750,221.10
Bhagalpur,35255,309.28,12559,76.08,24476,187.45
Bhojpur,39212,250.18,10976,52.59,28396,156.22
Buxar,21947,115.61,7048,36.51,17731,111.15
Darbhanga,56341,401.98,11117,65.15,17259,119.00
Gaya,83533,546.98,45458,182.86,39835,214.68
Gopalganj,36122,294.38,7763,44.79,13616,109.72
Jamui,25267,92.50,6525,25.89,18645,78.60
Jehanabad,12816,75.62,2060,9.61,10597,66.00
Kaimur (Bhabua),24498,175.18,6504,34.82,19082,161.31
Katihar,46687,392.15,8103,49.10,14231,120.63
Khagaria,22451,129.20,4855,24.87,15217,101.22
Kishanganj,26818,267.01,9077,55.34,13081,101.89
Lakhisarai,14482,78.37,3427,14.66,9048,60.40
Madhepura,28456,201.24,7319,42.52,10045,68.19
Madhubani,46973,361.77,9596,52.87,16586,102.46
Munger,13600,89.66,3995,20.54,12711,64.23
Muzaffarpur,70934,627.81,26400,146.62,42865,329.34
Nalanda,34224,208.02,9138,39.32,25422,169.07
Nawada,36449,124.55,11420,35.02,28393,109.63
Pashchim Champaran,46145,402.16,11761,68.53,23783,189.15
Patna,126099,1206.78,75400,400.39,90098,656.39
Purbi Champaran,67803,597.64,16357,98.93,33958,256.11
Purnia,43270,447.70,11336,67.87,19560,177.09
Rohtas,35936,244.03,9452,48.63,27818,188.91
Saharsa,23377,194.95,6206,35.33,11592,92.94
Samastipur,62673,375.70,17931,105.39,45078,290.97
Saran,56403,423.22,18056,107.19,22610,169.92
Sheikhpura,7626,48.88,1817,7.80,5135,44.60
Sheohar,11114,72.37,764,4.22,5706,39.76
Sitamarhi,36421,277.41,6401,37.47,14381,102.53
Siwan,51200,544.60,15237,87.96,22738,159.83
Supaul,26733,196.80,3755,20.34,11710,78.43
Vaishali,54045,950.07,12060,69.58,21250,208.46
