District,Cases pending 31.03.2025 No.,Amt.,"Cases filed during the quarter June
2025 No.",Amt.,"Cases disposed during the quarter
June 2025 No.",Amt.,Cases pending as on 30.06.2025 No.,Amt.,"Cases pending for 6 months or more
as on 30.06.2025 No.",Amt.
Araria,23,11.21,11,9.95,12,1.52,22,19.65,11,1.92
Arwal,10,1.92,0,0.00,2,0.21,8,1.71,7,1.41
Aurangabad,18,4.88,32,3.67,3,0.56,47,7.99,12,3.47
Banka,0,0.00,3,0.60,0,0.00,3,0.60,1,0.00
Begusarai,16,5.41,8,1.56,13,4.75,11,2.21,3,0.77
Bhagalpur,30,22.24,13,2.08,10,2.04,33,22.27,16,19.96
Bhojpur,11,2.65,5,1.11,6,2.17,10,1.59,4,0.85
Buxar,6,1.50,1,0.07,5,1.31,2,0.26,5,0.08
Darbhanga,39,20.99,1,0.16,9,3.34,31,17.82,19,2.51
Gaya,22,6.38,26,7.31,16,2.92,32,10.76,11,3.13
Gopalganj,23,3.30,1,0.05,3,0.15,21,3.20,12,1.15
Jamui,4,0.11,0,0.00,0,0.00,4,0.11,1,0.05
Jehanabad,6,2.28,0,0.00,2,1.57,4,0.71,2,0.50
Kaimur (Bhabua),7,8.06,1,0.15,6,6.46,2,1.75,2,0.21
Katihar,11,1.08,9,1.36,5,0.26,15,2.18,2,0.01
Khagaria,8,2.00,3,1.03,3,1.07,8,1.96,4,1.13
Kishanganj,29,3.08,9,0.84,1,0.08,37,3.83,21,1.95
Lakhisarai,3,0.99,1,0.23,0,0.00,4,1.22,2,0.84
Madhepura,12,1.88,8,1.04,1,0.13,19,2.79,9,1.32
Madhubani,12,2.90,2,0.28,3,0.83,11,2.35,5,0.90
Munger,21,9.11,7,1.68,1,1.23,27,9.56,12,5.78
Muzaffarpur,68,8.91,29,7.30,19,4.68,78,11.52,12,2.04
Nalanda,52,6.81,4,5.31,2,4.50,54,7.62,35,7.55
Nawada,6,1.51,1,0.09,0,0.00,7,1.59,20,15.49
Pashchim Champaran,35,5.25,3,1.10,5,0.89,33,5.45,19,2.01
Patna,49,19.81,80,26.03,33,26.21,96,19.64,21,4.84
Purbi Champaran,37,13.65,9,2.32,8,1.89,38,14.09,10,1.34
Purnia,76,17.17,35,7.00,20,3.29,91,20.88,27,9.89
Rohtas,66,11.15,10,1.62,11,4.12,65,8.64,58,6.86
Saharsa,17,3.63,5,1.35,3,0.42,19,4.56,11,2.42
Samastipur,12,3.33,11,3.25,8,3.21,15,3.37,3,0.21
Saran,29,3.57,10,2.54,6,1.17,33,4.94,15,1.75
Sheikhpura,4,0.98,1,0.18,1,0.49,4,0.67,1,0.07
Sheohar,21,3.27,2,0.40,0,0.00,23,3.67,1,0.84
Sitamarhi,9,1.20,5,0.67,6,0.99,8,0.88,1,0.05
Siwan,18,2.02,8,1.49,6,0.42,20,3.10,7,1.12
Supaul,9,1.10,5,0.57,2,0.55,12,1.12,4,0.43
Vaishali,47,7.83,13,2.80,11,3.09,49,7.54,42,4.77
