district,total_advances,prio_sec_adv,of_p_s_adv,agl_adv,of_agl_adv,msme,of_msme_adv,ops_adv,of_ops_adv,nps_adv,of_nps_adv
Araria,5435.24,3618.42,66.57,1923.99,35.40,1432.61,26.36,261.83,4.82,1822.05,33.52
Arwal,1200.07,745.04,62.08,450.78,37.56,237.27,19.77,57.00,4.75,436.42,36.37
Aurangabad,6273.72,3463.34,55.20,1970.89,31.42,1174.37,18.72,318.08,5.07,2833.98,45.17
Banka,2953.58,2026.80,68.62,1218.43,41.25,581.35,19.68,227.02,7.69,916.43,31.03
Begusarai,9880.25,6356.67,64.34,2933.86,29.69,2867.69,29.02,555.12,5.62,3492.31,35.35
Bhagalpur,10229.72,5597.57,54.72,1951.52,19.08,2869.42,28.05,776.63,7.59,4589.88,44.87
Bhojpur,6292.74,3640.19,57.85,1964.17,31.21,1194.55,18.98,481.46,7.65,2647.76,42.08
Buxar,3659.74,2296.03,62.74,1328.94,36.31,728.81,19.91,238.30,6.51,1408.85,38.50
Darbhanga,8840.38,4756.73,53.81,2147.14,24.29,2027.01,22.93,582.57,6.59,4079.86,46.15
Gaya,13140.29,8069.16,61.41,4029.86,30.67,3101.97,23.61,937.33,7.13,5099.49,38.81
Gopalganj,5256.67,3483.65,66.27,2181.24,41.49,1066.92,20.30,235.49,4.48,1763.96,33.56
Jamui,3022.80,1882.68,62.28,1263.06,41.78,491.49,16.26,128.14,4.24,1130.50,37.40
Jehanabad,2295.06,1381.05,60.17,758.09,33.03,477.25,20.79,145.70,6.35,952.33,41.49
Kaimur (Bhabua),3267.88,2221.55,67.98,1512.89,46.30,536.21,16.41,172.45,5.28,1040.74,31.85
Katihar,6981.19,4459.22,63.87,2594.30,37.16,1469.79,21.05,395.12,5.66,2523.20,36.14
Khagaria,3249.73,2157.18,66.38,1454.95,44.77,584.61,17.99,117.62,3.62,1085.24,33.39
Kishanganj,3527.57,2332.62,66.13,1421.11,40.29,708.89,20.10,202.63,5.74,1195.20,33.88
Lakhisarai,1971.35,1228.42,62.31,790.74,40.11,332.61,16.87,105.08,5.33,741.42,37.61
Madhepura,3668.03,2353.53,64.16,1536.36,41.89,678.27,18.49,138.90,3.79,1317.77,35.93
Madhubani,6806.19,4207.17,61.81,2444.59,35.92,1350.67,19.84,411.91,6.05,2595.35,38.13
Munger,3296.99,1573.70,47.73,746.85,22.65,585.00,17.74,241.85,7.34,1701.42,51.61
Muzaffarpur,18339.22,10599.07,57.79,4485.52,24.46,4888.33,26.66,1225.20,6.68,7743.91,42.23
Nalanda,6537.18,4054.50,62.02,1965.13,30.06,1542.40,23.59,546.97,8.37,2551.46,39.03
Nawada,4208.67,2750.78,65.36,1654.27,39.31,809.50,19.23,287.01,6.82,1447.64,34.40
Pashchim Champaran,7577.01,4785.78,63.16,2780.40,36.70,1584.59,20.91,420.79,5.55,2790.16,36.82
Patna,91728.82,38215.30,41.66,12706.95,13.85,19506.80,21.27,6001.56,6.54,53521.47,58.35
Purbi Champaran,11090.59,7224.48,65.14,4318.84,38.94,2401.62,21.65,504.03,4.54,3868.37,34.88
Purnia,10228.11,6723.82,65.74,2853.45,27.90,3200.26,31.29,670.11,6.55,3501.80,34.24
Rohtas,6947.25,4459.93,64.20,2270.15,32.68,1747.15,25.15,442.64,6.37,2485.66,35.78
Saharsa,3975.07,2496.17,62.80,1393.55,35.06,903.69,22.73,198.92,5.00,1481.10,37.26
Samastipur,9546.15,6161.60,64.55,3444.43,36.08,2170.38,22.74,546.79,5.73,3341.99,35.01
Saran,7753.77,4672.27,60.26,2610.57,33.67,1620.73,20.90,440.98,5.69,3086.18,39.80
Sheikhpura,1470.89,924.16,62.83,520.08,35.36,323.33,21.98,80.75,5.49,543.21,36.93
Sheohar,1083.13,730.58,67.45,503.02,46.44,182.92,16.89,44.64,4.12,354.94,32.77
Sitamarhi,5424.05,3432.34,63.28,1937.00,35.71,1193.94,22.01,301.41,5.56,1997.00,36.82
Siwan,8090.86,5565.89,68.79,3526.19,43.58,1628.33,20.13,411.37,5.08,2519.51,31.14
Supaul,3827.11,2320.31,60.63,1471.65,38.45,704.38,18.41,144.29,3.77,1510.00,39.46
Vaishali,11087.28,7844.54,70.75,5485.00,49.47,1849.18,16.68,510.36,4.60,3233.54,29.16
