district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1109,1.36,68,1.36,6.13,1.36
Arwal,270,0.38,3,0.38,1.11,0.38
Aurangabad,1107,0.45,18,0.45,1.63,0.45
Banka,906,1.22,35,1.22,3.86,1.22
Begusarai,2042,0.57,34,0.57,1.67,0.57
Bhagalpur,1710,1.25,95,1.25,5.56,1.25
Bhojpur,1442,1.19,18,1.19,1.25,1.19
Buxar,805,0.58,13,0.58,1.61,0.58
Darbhanga,1575,1.79,129,1.79,8.19,1.79
Gaya,2344,0.36,37,0.36,1.58,0.36
Gopalganj,1207,1.22,58,1.22,4.81,1.22
Jamui,639,0.42,9,0.42,1.41,0.42
Jehanabad,404,0.17,2,0.17,0.50,0.17
Kaimur (Bhabua),637,0.21,8,0.21,1.26,0.21
Katihar,1272,4.74,264,4.74,20.75,4.74
Khagaria,571,2.24,61,2.24,10.68,2.24
Kishanganj,669,1.70,35,1.70,5.23,1.70
Lakhisarai,504,0.60,11,0.60,2.18,0.60
Madhepura,602,1.72,35,1.72,5.81,1.72
Madhubani,1473,7.34,190,7.34,12.90,7.34
Munger,776,0.52,18,0.52,2.32,0.52
Muzaffarpur,3443,1.11,183,1.11,5.32,1.11
Nalanda,1343,0.98,42,0.98,3.13,0.98
Nawada,905,0.74,27,0.74,2.98,0.74
Pashchim Champaran,1640,0.73,55,0.73,3.35,0.73
Patna,9345,1.63,839,1.63,8.98,1.63
Purbi Champaran,2242,0.64,59,0.64,2.63,0.64
Purnia,1440,2.33,134,2.33,9.31,2.33
Rohtas,1407,0.81,39,0.81,2.77,0.81
Saharsa,437,1.92,42,1.92,9.61,1.92
Samastipur,1875,0.96,60,0.96,3.20,0.96
Saran,1707,1.76,156,1.76,9.14,1.76
Sheikhpura,236,4.71,7,4.71,2.97,4.71
Sheohar,202,2.17,28,2.17,13.86,2.17
Sitamarhi,872,0.85,32,0.85,3.67,0.85
Siwan,2245,0.85,86,0.85,3.83,0.85
Supaul,604,0.83,23,0.83,3.81,0.83
Vaishali,1943,0.60,49,0.60,2.52,0.60
