District,Total PMJDY Accounts,"PMJDY accounts
opened in 2025-26 as
on 30.06.2025",Zero Balance A/c,"Deposits held in the
A/c",Rupay Card Issued,Rupay Card Activated,Aadhaar Seeded
Araria,1985951,53298,142518,544.17,1337656,254917,1690486
Arwal,416529,12448,31211,180.67,240787,111941,347593
Aurangabad,1627434,40798,120865,642.00,1107888,484918,1363414
Banka,1496970,36477,118095,627.44,622321,165269,1209693
Begusarai,1731095,50974,127258,789.77,884672,242387,1392763
Bhagalpur,1830801,91698,132020,770.00,934148,270646,1528365
Bhojpur,1514023,37801,86042,746.67,856217,327659,1256552
Buxar,1204243,27259,64476,524.93,677831,228408,950480
Darbhanga,1762916,52509,128298,793.44,1303491,389007,1499711
Gaya,2870603,77393,142086,1185.26,1983816,773241,2432129
Gopalganj,1583533,47280,105319,873.05,1091393,326755,1325794
Jamui,1191271,26451,52926,526.58,641537,126477,936954
Jehanabad,567433,16566,34580,253.61,381365,185479,473320
Kaimur (Bhabua),997257,28609,57893,336.08,628493,220882,824496
Katihar,1964629,42053,118075,722.50,1176631,469034,1723507
Khagaria,1141376,37898,56435,395.11,470924,110329,950145
Kishanganj,1290639,29277,74278,363.02,983955,232857,1120035
Lakhisarai,655511,16328,39858,288.45,310194,96262,526672
Madhepura,1158339,25865,64074,394.00,848326,217360,943749
Madhubani,2367629,75586,201019,908.99,1746637,601217,1996566
Munger,669509,28333,43070,343.74,360804,125317,540490
Muzaffarpur,2834312,82124,221267,1182.55,1912124,563221,2450720
Nalanda,1393062,43772,54542,726.99,743560,291536,1144811
Nawada,1426988,36473,62015,551.07,790607,334782,1149995
Pashchim Champaran,2661177,90539,207683,737.87,2017343,623626,2260587
Patna,2774617,104052,231475,1355.92,1756029,612428,2333389
Purbi Champaran,3051352,89756,228251,1031.16,2218797,634290,2525769
Purnia,2150512,53774,126955,664.25,1494510,314461,1824739
Rohtas,1622572,44961,96369,686.14,983297,328947,1321660
Saharsa,1042304,27491,79315,356.13,834047,225144,858825
Samastipur,2659531,82424,121778,1060.78,1617937,506695,2218746
Saran,2680384,59985,185645,1287.02,1961001,614881,2168495
Sheikhpura,362027,11798,14163,173.40,189713,44469,289038
Sheohar,370288,9356,22523,144.97,245300,46052,339721
Sitamarhi,2155207,64571,144303,889.26,1453947,481319,1916995
Siwan,1895234,57579,137607,1085.26,1308861,442630,1583282
Supaul,1334102,32911,88445,495.97,1033125,320800,1116781
Vaishali,1973290,59288,158450,904.06,1291931,394737,1645508
